,author,accuracy_lemma_a,accuracy_lemma_c,accuracy_lemma_d,accuracy_lemma_i,accuracy_lemma_l,accuracy_lemma_m,accuracy_lemma_n,accuracy_lemma_p,accuracy_lemma_r,accuracy_lemma_u,accuracy_lemma_v,accuracy_lemma__
0,aeschines,0.8,0.83,0.77,1.0,0.97,0.89,0.77,0.9,0.89,0.0,0.57,
1,antiphon,0.8,0.82,0.81,1.0,0.95,0.89,0.8,0.93,0.86,0.03,0.62,
2,appian,0.78,0.89,0.84,1.0,0.98,0.89,0.7,0.94,0.92,0.0,0.5,
3,aristotle,0.76,0.85,0.83,,0.98,0.96,0.78,0.86,0.92,0.04,0.75,
4,athen,0.75,0.89,0.79,0.94,0.99,0.89,0.72,0.9,0.89,0.0,0.64,
5,dem,0.76,0.83,0.8,0.99,0.97,0.85,0.74,0.91,0.85,0.0,0.57,
6,diodsic,0.9,0.92,0.88,1.0,0.99,0.93,0.9,0.98,0.91,0.0,0.85,
7,dion,0.76,0.88,0.85,1.0,0.98,0.84,0.76,0.93,0.89,0.0,0.61,
8,hdt,0.88,0.93,0.91,1.0,0.99,0.88,0.86,0.88,0.91,0.01,0.82,
9,josephus,0.73,0.89,0.84,0.5,0.99,0.91,0.75,0.93,0.86,0.0,0.57,
10,lysias,0.82,0.84,0.84,1.0,0.97,0.92,0.81,0.94,0.87,0.0,0.59,
11,plato,0.81,0.86,0.82,0.98,0.93,0.9,0.82,0.91,0.87,0.0,0.66,
12,plut,0.76,0.89,0.82,1.0,0.98,0.95,0.76,0.91,0.88,0.0,0.58,
13,polybius,0.75,0.89,0.82,1.0,0.98,0.86,0.76,0.94,0.91,0.01,0.59,1.0
14,ps,0.75,0.89,0.82,,0.97,1.0,0.76,0.9,0.95,0.04,0.68,
15,thuc,0.73,0.9,0.85,1.0,0.98,0.94,0.73,0.95,0.87,0.01,0.6,
16,xen,0.76,0.9,0.86,1.0,0.97,0.85,0.77,0.93,0.9,0.0,0.62,
