,author,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines,15971,10692,11098,0.669,0.695
1,antiphon,16433,11350,10468,0.691,0.637
2,appian,25665,17512,18126,0.682,0.706
3,aristotle,19867,14548,12959,0.732,0.652
4,dion,30312,21849,20909,0.721,0.69
5,hdt,33150,26339,26218,0.795,0.791
6,josephus,24987,17736,17334,0.71,0.694
7,lysias,22122,15197,14804,0.687,0.669
8,plato,10457,7088,6539,0.678,0.625
9,ps,3723,2647,2483,0.711,0.667
10,thuc,32344,23017,22432,0.712,0.694
11,xen,68725,49277,46479,0.717,0.676
12,athen,45609,31172,32092,0.683,0.704
13,demosthenes,66613,48661,45015,0.731,0.676
14,diodsic,25692,21579,21505,0.84,0.837
15,plutarch,37203,25345,26406,0.681,0.71
16,polybius,105693,76743,75044,0.726,0.71
