,author,accuracy_lemma_a,accuracy_lemma_c,accuracy_lemma_d,accuracy_lemma_i,accuracy_lemma_l,accuracy_lemma_n,accuracy_lemma_p,accuracy_lemma_r,accuracy_lemma_u,accuracy_lemma_v,accuracy_lemma_x,accuracy_lemma_-,accuracy_lemma_e,accuracy_lemma_m,accuracy_lemma_t,accuracy_lemma_δ,accuracy_lemma__
0,aeschines,0.81,0.76,0.79,1.0,0.97,0.74,0.9,0.89,0.0,0.55,,,,,,,
1,antiphon,0.81,0.71,0.82,1.0,0.95,0.76,0.94,0.85,0.01,0.61,,,,,,,
2,appian,0.79,0.84,0.85,1.0,0.98,0.68,0.94,0.92,0.0,0.48,1.0,,,,,,
3,aristotle,0.78,0.75,0.85,,0.98,0.76,0.86,0.92,0.04,0.75,,,,,,,
4,athen,0.75,0.83,0.82,0.96,0.98,0.68,0.9,0.9,0.0,0.63,1.0,0.0,0.0,0.95,0.6,,
5,dem,0.77,0.78,0.8,0.99,0.97,0.72,0.91,0.85,0.47,0.56,1.0,,,,,0.0,
6,diodsic,0.94,0.91,0.92,1.0,0.99,0.95,0.98,0.91,0.0,0.86,1.0,,,,,,
7,dion,0.78,0.86,0.87,1.0,0.98,0.73,0.94,0.89,0.0,0.58,,,,,,,
8,hdt,0.9,0.9,0.94,1.0,0.99,0.87,0.93,0.86,0.0,0.82,1.0,,,,,,
9,josephus,0.75,0.86,0.85,0.5,0.99,0.73,0.93,0.86,0.0,0.55,,,,,,,
10,lysias,0.84,0.72,0.8,1.0,0.96,0.78,0.95,0.86,0.0,0.59,1.0,,,,,,
11,plato,0.82,0.7,0.8,0.99,0.93,0.76,0.9,0.87,0.04,0.61,,,,,,,
12,plut,0.76,0.84,0.84,1.0,0.98,0.71,0.91,0.85,0.0,0.57,,,,1.0,,,
13,polybius,0.77,0.86,0.84,1.0,0.98,0.73,0.93,0.88,0.01,0.58,1.0,,,,,,1.0
14,ps,0.8,0.71,0.81,,0.97,0.77,0.9,0.95,0.0,0.68,,,,,,,
15,thuc,0.77,0.85,0.88,1.0,0.98,0.72,0.94,0.86,0.0,0.58,0.0,,,,,,
16,xen,0.78,0.8,0.84,1.0,0.97,0.76,0.92,0.9,0.16,0.62,,,,,,,
