,n,v,a,d,l,g,p,c,r,m,i,u,-
0,0.908,0.957,0.789,0.396,0.883,0,0.632,0.708,0.873,0.0,1.0,1.0,0.0
1,0.906,0.96,0.849,0.377,0.831,0,0.633,0.68,0.846,0.0,1.0,0.982,0.0
2,0.88,0.953,0.778,0.398,0.869,0,0.511,0.751,0.921,0.0,1.0,1.0,0.0
3,0.879,0.958,0.784,0.363,0.86,0,0.432,0.667,0.908,0.0,0.0,1.0,0.0
4,0.897,0.956,0.759,0.349,0.897,0,0.495,0.728,0.892,0.727,0.942,1.0,0.0
5,0.88,0.953,0.751,0.39,0.87,0,0.596,0.742,0.83,0.0,0.977,1.0,0.0
6,0.974,0.988,0.95,0.362,0.911,0,0.545,0.702,0.911,0.0,1.0,1.0,0.0
7,0.903,0.959,0.79,0.326,0.882,0,0.508,0.704,0.883,0.0,1.0,1.0,0.0
8,0.957,0.988,0.903,0.355,0.886,0,0.705,0.678,0.925,0.0,1.0,1.0,0.0
9,0.9,0.952,0.819,0.317,0.869,0,0.432,0.658,0.858,0.0,0.5,1.0,0.0
10,0.896,0.965,0.842,0.363,0.866,0,0.564,0.718,0.869,0.0,1.0,0.999,0.0
11,0.908,0.955,0.828,0.397,0.822,0,0.708,0.706,0.863,0.0,1.0,1.0,0.0
12,0.883,0.959,0.801,0.381,0.871,0,0.442,0.747,0.871,0.519,1.0,1.0,0.0
13,0.886,0.963,0.816,0.395,0.872,0,0.495,0.706,0.89,0.0,1.0,1.0,0.0
14,0.839,0.939,0.814,0.35,0.854,0,0.521,0.751,0.943,0.0,0.0,0.951,0.0
15,0.892,0.968,0.824,0.375,0.86,0,0.586,0.747,0.87,0.0,1.0,0.998,0.0
16,0.881,0.965,0.806,0.347,0.843,0,0.54,0.733,0.89,0.0,0.996,1.0,0.0
