,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines-1-1-50-bu1.xml,4364,2888,2979,0.662,0.683
1,aeschines-1-101-150-bu1.xml,3993,2732,2813,0.684,0.704
2,aeschines-1-151-196-bu1.xml,3724,2481,2628,0.666,0.706
3,aeschines-1-51-100-bu1.xml,3890,2591,2678,0.666,0.688
4,antiphon-1-bu2.xml,2046,1419,1361,0.694,0.665
5,antiphon-2-bu2.xml,2915,1989,1810,0.682,0.621
6,antiphon-5-bu2.xml,7458,5180,4689,0.695,0.629
7,antiphon-6-bu2.xml,4014,2762,2608,0.688,0.65
8,appian-bc-1-0-1-4-bu1.xml,7047,4839,5018,0.687,0.712
9,appian-bc-1-11-14-bu1.xml,6157,4203,4275,0.683,0.694
10,appian-bc-1-5-7-bu1.xml,5848,4000,4141,0.684,0.708
11,appian-bc-1-8-10-bu1.xml,6613,4470,4692,0.676,0.71
12,aristotle-politics-book-1-bu1.xml,7680,5627,4864,0.733,0.633
13,aristotle-politics-book-2-bu2.xml,12187,8921,8095,0.732,0.664
14,athen12-1-9-2019.xml,2200,1534,1492,0.697,0.678
15,athen12-10-19-2019.xml,2830,1993,1962,0.704,0.693
16,athen12-20-29-2019.xml,2026,1421,1483,0.701,0.732
17,athen12-30-39-jan-15.xml,1950,1326,1329,0.68,0.682
18,athen12-40-49-jan-15.xml,2367,1611,1634,0.681,0.69
19,athen12-50-59-jan-15.xml,2991,2095,2080,0.7,0.695
20,athen12-60-69-jan-15.xml,2796,1953,1943,0.698,0.695
21,athen12-70-81-jan-15.xml,3157,2123,2113,0.672,0.669
22,athen13-1-9-jan-15.xml,2191,1412,1481,0.644,0.676
23,athen13-10-19-jan-15.xml,2448,1671,1718,0.683,0.702
24,athen13-20-29-jan-15.xml,2676,1636,1790,0.611,0.669
25,athen13-30-39-jan-15.xml,2520,1778,1832,0.706,0.727
26,athen13-40-49-jan-15.xml,3362,1974,2220,0.587,0.66
27,athen13-50-59-jan-15.xml,2504,1625,1724,0.649,0.688
28,athen13-60-69-jan-15.xml,2419,1648,1723,0.681,0.712
29,athen13-70-79-jan-15.xml,2599,1818,1927,0.699,0.741
30,athen13-80-89-jan-15.xml,3087,2431,2513,0.787,0.814
31,athen13-90-95-jan-15.xml,1486,1123,1128,0.756,0.759
32,dem-59-neaira-2019.xml,10489,8051,7452,0.768,0.71
33,demosthenes-1-bu1.xml,2194,1747,1411,0.796,0.643
34,demosthenes-18-1-50-bu2.xml,4173,2799,2705,0.671,0.648
35,demosthenes-18-101-150-bu2.xml,4311,2781,2815,0.645,0.653
36,demosthenes-18-151-200-bu2.xml,4291,2911,2860,0.678,0.667
37,demosthenes-18-201-275-bu1.xml,5690,3627,3646,0.637,0.641
38,demosthenes-18-276-324-bu1.xml,3909,2478,2583,0.634,0.661
39,demosthenes-18-51-100-bu1.xml,4061,2645,2742,0.651,0.675
40,demosthenes-4-phil1-bu1.xml,3951,2507,2473,0.635,0.626
41,demosthenes-46-tree.xml,2168,1724,1487,0.795,0.686
42,demosthenes-47-tree.xml,6235,5053,4329,0.81,0.694
43,demosthenes-49-tree.xml,5005,4086,3617,0.816,0.723
44,demosthenes-50-tree.xml,5306,4308,3595,0.812,0.678
45,demosthenes-52-tree.xml,2490,2063,1748,0.829,0.702
46,demosthenes-53-tree.xml,2340,1881,1552,0.804,0.663
47,diodsic-11-1-20-bu4.xml,6247,5269,5248,0.843,0.84
48,diodsic-11-81-92-bu1.xml,2997,2500,2465,0.834,0.822
49,diodsic11-21-40-bu2.xml,5816,4851,4871,0.834,0.838
50,diodsic11-41-60-bu1.xml,5170,4310,4285,0.834,0.829
51,diodsic11-61-80-bu1.xml,5462,4649,4636,0.851,0.849
52,dion-hal-1-1-15-bu2.xml,4610,3283,3131,0.712,0.679
53,dion-hal-1-16-30-bu1.xml,4666,3390,3200,0.727,0.686
54,dion-hal-1-31-45-bu1.xml,4740,3387,3238,0.715,0.683
55,dion-hal-1-46-60-bu1.xml,5258,3731,3652,0.71,0.695
56,dion-hal-1-61-75-bu1.xml,4962,3642,3462,0.734,0.698
57,dion-hal-1-76-90-bu1.xml,6076,4416,4226,0.727,0.696
58,hdt-1-1-19-bu3-2019.xml,2566,2018,1992,0.786,0.776
59,hdt-1-100-119-bu3-2019.xml,3154,2557,2511,0.811,0.796
60,hdt-1-120-149-bu2-2019.xml,4244,3357,3301,0.791,0.778
61,hdt-1-150-169-bu3-2019.xml,2513,2000,2008,0.796,0.799
62,hdt-1-170-189-bu2-2019.xml,3291,2595,2568,0.789,0.78
63,hdt-1-190-216-bu2-2019.xml,4298,3426,3416,0.797,0.795
64,hdt-1-20-39-bu2-2019.xml,3038,2399,2401,0.79,0.79
65,hdt-1-40-59-bu2-2019.xml,2452,1912,1971,0.78,0.804
66,hdt-1-60-79-bu2-2019.xml,3617,2923,2958,0.808,0.818
67,hdt-1-80-99-bu5-2019.xml,3977,3152,3092,0.793,0.777
68,josephus-bj-1-1-2-bu1.xml,3328,2436,2335,0.732,0.702
69,josephus-bj-1-11-15-bu1.xml,4121,2935,2933,0.712,0.712
