,author,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
0,aeschines,15877,10794,11154,0.68,0.703
1,antiphon,16373,11530,10658,0.704,0.651
2,appian,25649,17729,18355,0.691,0.716
3,aristotle,19836,14608,13215,0.736,0.666
4,dion,30120,21958,20961,0.729,0.696
5,hdt,33014,26058,25789,0.789,0.781
6,josephus,24891,17849,17458,0.717,0.701
7,lysias,22002,15470,14873,0.703,0.676
8,plato,10392,7317,6637,0.704,0.639
9,ps,3717,2693,2509,0.725,0.675
10,thuc,32189,22963,22293,0.713,0.693
11,xen,68522,48523,46588,0.708,0.68
12,athen,45088,31360,32038,0.696,0.711
13,demosthenes,66319,45134,44838,0.681,0.676
14,diodsic,25646,21066,21644,0.821,0.844
15,plutarch,36930,25717,26400,0.696,0.715
16,polybius,105254,77342,75518,0.735,0.717
