,author,pos,person,number,tense,mood,voice,gender,case,degree
0,aristotle,0.813,0.946,0.947,0.925,0.943,0.938,0.937,0.958,0.966
1,plato,0.783,0.934,0.949,0.929,0.949,0.942,0.934,0.957,0.957
2,appian,0.811,0.964,0.947,0.931,0.954,0.946,0.934,0.95,0.967
3,polybius,0.781,0.96,0.95,0.939,0.951,0.949,0.924,0.922,0.957
4,diodsic,0.811,0.953,0.942,0.933,0.946,0.943,0.922,0.946,0.988
5,xen,0.797,0.932,0.936,0.916,0.936,0.931,0.923,0.944,0.976
6,athen,0.873,0.981,0.975,0.974,0.979,0.976,0.982,0.986,0.983
7,hdt,0.808,0.967,0.954,0.943,0.96,0.952,0.919,0.944,0.969
8,ps,0.842,0.982,0.979,0.978,0.984,0.981,0.97,0.976,0.993
9,antiphon,0.798,0.963,0.946,0.934,0.954,0.949,0.927,0.949,0.978
10,plut,0.798,0.946,0.947,0.931,0.95,0.943,0.934,0.955,0.961
11,josephus,0.786,0.924,0.947,0.93,0.942,0.943,0.936,0.942,0.953
12,aeschines,0.812,0.962,0.947,0.936,0.953,0.948,0.932,0.947,0.981
13,thuc,0.816,0.965,0.952,0.939,0.957,0.951,0.926,0.952,0.974
14,dion,0.774,0.962,0.955,0.94,0.955,0.953,0.939,0.943,0.962
15,dem,0.802,0.964,0.957,0.941,0.959,0.954,0.941,0.957,0.977
16,lysias,0.786,0.954,0.949,0.933,0.952,0.948,0.941,0.954,0.968
