,@id,@form,@lemma,@postag,@relation
0,1,οἱ,ὁ,l-p---mn-,ATR
1,2,δʼ,δέ,d--------,AuxY
2,3,αὖ,αὖ,d--------,AuxY
3,4,πολέμιοι,πολέμιος,n-p---mn-,SBJ_AP
4,5,ὡς,ὡς,c--------,AuxC
5,6,εἶδον,εἶδον,v3paia---,ADV
6,7,τοὺς,ὁ,l-p---ma-,ATR
7,8,Μήδους,Μῆδος,n-p---ma-,SBJ
8,9,προκινηθέντας,προκινέω,v-pappma-,OBJ
9,10,",",punc1,u--------,APOS
10,11,διατεινάμενοι,διατείνω,v-papmmn-,ATV
11,12,οἱ,ὁ,l-p---mn-,SBJ_AP_CO
12,13,μὲν,μέν,d--------,AuxY
13,14,τὰ,ὁ,l-p---na-,ATR
14,15,παλτὰ,παλτόν,n-p---na-,OBJ
15,16,οἱ,ὁ,l-p---mn-,SBJ_AP_CO
16,17,δὲ,δέ,c--------,COORD
17,18,τὰ,ὁ,l-p---na-,ATR
18,19,τόξα,τόξον,n-p---na-,OBJ
19,20,εἱστήκεσαν,ἵστημι,v3plia---,PRED
20,21,",",punc1,u--------,AuxX
21,22,ὡς,ὡς,d--------,AuxZ
22,23,δή,δή,d--------,AuxZ
23,24,",",punc1,u--------,AuxX
24,25,ἐπειδὴ,ἐπεί,c--------,AuxC
25,26,εἰς,εἰς,r--------,AuxP
26,27,τόξευμα,τόξευμα,n-s---na-,OBJ
27,28,ἀφίκοιντο,ἀφικνέομαι,v3paom---,ADV
28,29,",",punc1,u--------,AuxX
29,30,στησομένους,ἵστημι,v-pfpmma-,ADV
30,31,",",punc1,u--------,AuxX
31,32,ὥσπερ,ὥσπερ,c--------,AuxC
32,33,τὰ,ὁ,l-p---na-,ATR
33,34,πλεῖστα,πλεῖστος,a-p---na-,ADV
34,35,εἰώθεσαν,ἔθω,v3plia---,ADV
35,36,ποιεῖν,ποιέω,v--pna---,OBJ
36,37,.,punc1,u--------,AuxK
37,38,διατεινάμενοι,διατείνω,v-papmmn-,ATV
