@ref,@id,@form,@lemma,@postag
Leuven|0041-001|203|1,1,οὐδὲ,οὐδέ,c--------
Leuven|0041-001|203|2,2,γὰρ,γάρ,d--------
Leuven|0041-001|203|3,3,οἱ,ὁ,l-p---mn-
Leuven|0041-001|203|4,4,ἀφιλοσόφητοι,ἀφιλοσόφητος,a-p---mn-
Leuven|0041-001|203|5,5,μὴ,μή,d--------
Leuven|0041-001|203|6,6,παντάπασί,παντάπασι,d--------
Leuven|0041-001|203|7,7,γε,γε,d--------
Leuven|0041-001|203|8,8,μανέντες,μαίνομαι,v-pappmn-
Leuven|0041-001|203|9,9,",",",",u--------
Leuven|0041-001|203|10,10,καθ’,κατά,r--------
Leuven|0041-001|203|11,11,ἡδονήν,ἡδονή,n-s---fa-
Leuven|0041-001|203|12,12,τινα,τις,p-s---ca-
Leuven|0041-001|203|13,13,τὰς,ὁ,l-p---fa-
Leuven|0041-001|203|14,14,ἀπεχθείας,ἀπέχθεια,n-p---fa-
Leuven|0041-001|203|15,15,ἐπαναιροῦνται,ἐπαναιρέω,v3ppie---
Leuven|0041-001|203|16,16,",",",",u--------
Leuven|0041-001|203|17,17,οὐδ’,οὐδέ,c--------
Leuven|0041-001|203|18,18,ἔρωτάς,ἔρως,n-p---ma-
Leuven|0041-001|203|19,19,τινας,τις,p-p---ca-
Leuven|0041-001|203|20,20,ὥσπερ,ὥσπερ,c--------
Leuven|0041-001|203|21,21,παιδικῶν,παιδικός,a-p---ng-
Leuven|0041-001|203|22,22,ἐπιτηδευμάτων,ἐπιτήδευμα,n-p---ng-
Leuven|0041-001|203|23,23,οὕτω,οὕτως,d--------
Leuven|0041-001|203|24,24,καὶ,καί,c--------
Leuven|0041-001|203|25,25,μίσους,μῖσος,n-s---ng-
Leuven|0041-001|203|26,26,λαμβάνουσι,λαμβάνω,v3ppia---
Leuven|0041-001|203|27,27,",",",",u--------
Leuven|0041-001|203|28,28,(,̔,u--------
Leuven|0041-001|203|29,29,πολλοῦ,πολύς,a-s---ng-
Leuven|0041-001|203|30,30,δεῖ,δέω,v3spia---
Leuven|0041-001|203|31,31,),̓,u--------
Leuven|0041-001|203|32,32,",",",",u--------
Leuven|0041-001|203|33,33,ἀλλὰ,ἀλλά,c--------
Leuven|0041-001|203|34,34,καὶ,καί,d--------
Leuven|0041-001|203|35,35,πάνυ,πάνυ,d--------
Leuven|0041-001|203|36,36,ἐπίστανται,ἐπίσταμαι,v3ppie---
Leuven|0041-001|203|37,37,",",",",u--------
Leuven|0041-001|203|38,38,ὅτι,ὅτι,c--------
Leuven|0041-001|203|39,39,οὐδὲν,οὐδείς,p-s---nn-
Leuven|0041-001|203|40,40,ἀνθρώποις,ἄνθρωπος,n-p---md-
Leuven|0041-001|203|41,41,ἀπεχθείας,ἀπέχθεια,n-s---fg-
Leuven|0041-001|203|42,42,ἀνιαρότερον,ἀνιαρός,a-s---nnc
Leuven|0041-001|203|43,43,·,·,u--------
Leuven|0041-001|203|45,44,[1],"""""",""""""
"""""",45,[2],"""""",""""""
