@ref,@id,@form,@lemma,@postag
Leuven|0041-001|31|1,1,τοὺς,ὁ,l-p---ma-
Leuven|0041-001|31|2,2,γοῦν,γοῦν,d--------
Leuven|0041-001|31|3,3,πρὸ,πρό,r--------
Leuven|0041-001|31|4,4,μικροῦ,μικρός,a-s---ng-
Leuven|0041-001|31|5,5,διαρπάζειν,διαρπάζω,v--pna---
Leuven|0041-001|31|6,6,ἐγνωκότας,γιγνώσκω,v-prpama-
Leuven|0041-001|31|7,7,τὴν,ὁ,l-s---fa-
Leuven|0041-001|31|8,8,πόλιν,πόλις,n-s---fa-
Leuven|0041-001|31|9,9,μετρίους,μέτριος,a-p---ma-
Leuven|0041-001|31|10,10,κατὰ,κατά,r--------
Leuven|0041-001|31|11,11,τὴν,ὁ,l-s---fa-
Leuven|0041-001|31|12,12,ἀγορὰν,ἀγορά,n-s---fa-
Leuven|0041-001|31|13,13,ἑωρῶμεν,ὁράω,v1piia---
Leuven|0041-001|31|14,14,ὠνουμένους,ὠνέομαι,v-pppema-
Leuven|0041-001|31|15,15,τὰ,ὁ,l-p---na-
Leuven|0041-001|31|16,16,ἐπιτήδεια,ἐπιτήδειος,a-p---na-
Leuven|0041-001|31|17,17,",",",",u--------
Leuven|0041-001|31|18,18,ὡς,ὡς,c--------
Leuven|0041-001|31|19,19,τῶν,ὁ,l-p---mg-
Leuven|0041-001|31|20,20,ἄλλων,ἄλλος,p-p---mg-
Leuven|0041-001|31|21,21,Βυζαντίων,Βυζάντιος,a-p---mg-
Leuven|0041-001|31|22,22,ἕκαστον,ἕκαστος,a-s---ma-
Leuven|0041-001|31|23,23,",",",",u--------
Leuven|0041-001|31|24,24,καὶ,καί,c--------
Leuven|0041-001|31|25,25,μηδὲν,μηδείς,p-s---na-
Leuven|0041-001|31|26,26,ἔτι,ἔτι,d--------
Leuven|0041-001|31|27,27,ἐκείνου,ἐκεῖνος,p-s---ng-
Leuven|0041-001|31|28,28,τοῦ,ὁ,l-s---ng-
Leuven|0041-001|31|29,29,ἀδίκου,ἄδικος,a-s---ng-
Leuven|0041-001|31|30,30,καὶ,καί,c--------
Leuven|0041-001|31|31,31,ἁρπακτοῦ,ἁρπακτός,a-s---ng-
Leuven|0041-001|31|32,32,ἄρεος,ἄρος,n-s---ng-
Leuven|0041-001|31|33,33,πνέοντας,πνέω,v-pppama-
Leuven|0041-001|31|34,34,.,.,u--------
Leuven|0041-001|31|35,35,[0],"""""",""""""
"""""",36,[1],"""""",""""""
