@ref,@id,@form,@lemma,@postag
Leuven|0041-001|224|1,1,μηδαμῶς,μηδαμῶς,d--------
Leuven|0041-001|224|2,2,",",",",u--------
Leuven|0041-001|224|3,3,ἀλλὰ,ἀλλά,c--------
Leuven|0041-001|224|4,4,σοὶ,σύ,p2s---cd-
Leuven|0041-001|224|5,5,μὲν,μέν,d--------
Leuven|0041-001|224|6,6,ἀποκείσθω,ἀπόκειμαι,v3spme---
Leuven|0041-001|224|7,7,πολέμων,πόλεμος,n-p---mg-
Leuven|0041-001|224|8,8,ἔργα,ἔργον,n-p---nn-
Leuven|0041-001|224|9,9,καὶ,καί,c--------
Leuven|0041-001|224|10,10,πολιτειῶν,πολιτεία,n-p---fg-
Leuven|0041-001|224|11,11,",",",",u--------
Leuven|0041-001|224|12,12,ἡμῖν,ἐγώ,p1p---cd-
Leuven|0041-001|224|13,13,δὲ,δέ,d--------
Leuven|0041-001|224|14,14,τῆς,ὁ,l-s---fg-
Leuven|0041-001|224|15,15,σῆς,σός,a-s---fg-
Leuven|0041-001|224|16,16,τοσοῦτον,τοσοῦτος,p-s---na-
Leuven|0041-001|224|17,17,ἀποτετμήσθω,ἀποτέμνω,v3srme---
Leuven|0041-001|224|18,18,τυραννίδος,τυραννίς,n-s---fg-
Leuven|0041-001|224|19,19,",",",",u--------
Leuven|0041-001|224|20,20,ὅσον,ὅσος,p-s---nn-
Leuven|0041-001|224|21,21,ἀταράχῳ,ἀτάρακτος,a-s---md-
Leuven|0041-001|224|22,22,ἀνδρὶ,ἀνήρ,n-s---md-
Leuven|0041-001|224|23,23,δοκεῖ,δοκέω,v3spia---
Leuven|0041-001|224|24,24,ἐνησυχάσαι,ἐνησυχάζω,v--ana---
Leuven|0041-001|224|25,25,.,.,u--------
"""""",26,[0],"""""",""""""
