@ref,@id,@form,@lemma,@postag
Leuven|0041-001|227|1,1,ἐμοὶ,ἐγώ,p1s---cd-
Leuven|0041-001|227|2,2,χρώμενος,χράω,v-sppemn-
Leuven|0041-001|227|3,3,δικαιοσύνην,δικαιοσύνη,n-s---fa-
Leuven|0041-001|227|4,4,ἤσκησας,ἀσκέω,v2saia---
Leuven|0041-001|227|5,5,καὶ,καί,c--------
Leuven|0041-001|227|6,6,σωφροσύνην,σωφροσύνη,n-s---fa-
Leuven|0041-001|227|7,7,ἐκτήσω,κτάομαι,v2saim---
Leuven|0041-001|227|8,8,καὶ,καί,c--------
Leuven|0041-001|227|9,9,θεὸν,θεός,n-s---ma-
Leuven|0041-001|227|10,10,ἔμαθες,μανθάνω,v2saia---
Leuven|0041-001|227|11,11,καὶ,καί,c--------
Leuven|0041-001|227|12,12,τὴν,ὁ,l-s---fa-
Leuven|0041-001|227|13,13,σεαυτοῦ,σεαυτοῦ,p2s---mg-
Leuven|0041-001|227|14,14,πρὸς,πρός,r--------
Leuven|0041-001|227|15,15,αὐτὸν,αὐτός,p-s---ma-
Leuven|0041-001|227|16,16,συγγένειαν,συγγένεια,n-s---fa-
Leuven|0041-001|227|17,17,ἀνενεώσω,ἀνανεόομαι,v2saim---
Leuven|0041-001|227|18,18,καὶ,καί,c--------
Leuven|0041-001|227|19,19,τῶν,ὁ,l-p---ng-
Leuven|0041-001|227|20,20,ταπεινοτέρων,ταπεινός,a-p---ngc
Leuven|0041-001|227|21,21,τούτων,οὗτος,p-p---ng-
Leuven|0041-001|227|22,22,",",",",u--------
Leuven|0041-001|227|23,23,θαυμαστῶν,θαυμαστός,a-p---ng-
Leuven|0041-001|227|24,24,δὲ,δέ,d--------
Leuven|0041-001|227|25,25,τοῖς,ὁ,l-p---md-
Leuven|0041-001|227|26,26,ἄλλοις,ἄλλος,p-p---md-
Leuven|0041-001|227|27,27,κατεφρόνησας,καταφρονέω,v2saia---
Leuven|0041-001|227|28,28,",",",",u--------
Leuven|0041-001|227|29,29,φιλοτιμίας,φιλοτιμία,n-s---fg-
Leuven|0041-001|227|30,30,καὶ,καί,c--------
Leuven|0041-001|227|31,31,πλούτου,πλοῦτος,n-s---mg-
Leuven|0041-001|227|32,32,καὶ,καί,c--------
Leuven|0041-001|227|33,33,ὅσα,ὅσος,p-p---nn-
Leuven|0041-001|227|34,34,τούτοις,οὗτος,p-p---nd-
Leuven|0041-001|227|35,35,ὅμοια,ὅμοιος,a-p---nn-
Leuven|0041-001|227|36,36,.,.,u--------
"""""",37,[0],"""""",""""""
