@ref,@id,@form,@lemma,@postag
Leuven|0041-001|55|1,1,ὡς,ὡς,c--------
Leuven|0041-001|55|2,2,δὲ,δέ,d--------
Leuven|0041-001|55|3,3,ἀνήχθημεν,ἀνάγω,v1paip---
Leuven|0041-001|55|4,4,",",",",u--------
Leuven|0041-001|55|5,5,ἕως,ἕως,c--------
Leuven|0041-001|55|6,6,μὲν,μέν,d--------
Leuven|0041-001|55|7,7,Σηλυμβρίαν,Σηλυμβρίη,n-s---fa-
Leuven|0041-001|55|8,8,παραλλάξαι,παραλλάσσω,v--ana---
Leuven|0041-001|55|9,9,",",",",u--------
Leuven|0041-001|55|10,10,κατεγελώμην,καταγελάω,v1siie---
Leuven|0041-001|55|11,11,ἐφ’,ἐπί,r--------
Leuven|0041-001|55|12,12,οἷς,ὅς,p-p---nd-
Leuven|0041-001|55|13,13,προεῖπον,προλέγω,v1saia---
Leuven|0041-001|55|14,14,",",",",u--------
Leuven|0041-001|55|15,15,εὐχόμενός,εὔχομαι,v-sppemn-
Leuven|0041-001|55|16,16,γε,γε,d--------
Leuven|0041-001|55|17,17,καὶ,καί,d--------
Leuven|0041-001|55|18,18,μέχρι,μέχρι,d--------
Leuven|0041-001|55|19,19,τῆς,ὁ,l-s---fg-
Leuven|0041-001|55|20,20,ἀποβάσεως,ἀπόβασις,n-s---fg-
Leuven|0041-001|55|21,21,γελᾶσθαι,γελάω,v--pne---
Leuven|0041-001|55|22,22,·,·,u--------
"""""",23,[0],"""""",""""""
