@ref,@id,@form,@lemma,@postag
Leuven|0041-001|109|1,1,οὕτω,οὕτως,d--------
Leuven|0041-001|109|2,2,γὰρ,γάρ,d--------
Leuven|0041-001|109|3,3,καὶ,καί,d--------
Leuven|0041-001|109|4,4,τῶν,ὁ,l-p---mg-
Leuven|0041-001|109|5,5,ἀποδωσόντων,ἀποδίδωμι,v-pfpamg-
Leuven|0041-001|109|6,6,ἐπιτεύξῃ,ἐπιτυγχάνω,v2sfim---
Leuven|0041-001|109|7,7,εἴτε,εἴτε,c--------
Leuven|0041-001|109|8,8,σὺ,σύ,p2s---cn-
Leuven|0041-001|109|9,9,μὴ,μή,d--------
Leuven|0041-001|109|10,10,γράφων,γράφω,v-sppamn-
Leuven|0041-001|109|11,11,",",",",u--------
Leuven|0041-001|109|12,12,φύλαξαι,φυλάσσω,v2samm---
Leuven|0041-001|109|13,13,καὶ,καί,d--------
Leuven|0041-001|109|14,14,τοῦτο,οὗτος,p-s---na-
Leuven|0041-001|109|15,15,.,.,u--------
"""""",16,[0],"""""",""""""
