@ref,@id,@form,@lemma,@postag
Leuven|0041-001|28|1,1,οὐ,οὐ,d--------
Leuven|0041-001|28|2,2,γὰρ,γάρ,d--------
Leuven|0041-001|28|3,3,δέος,δέος,n-s---nn-
Leuven|0041-001|28|4,4,μὴ,μή,c--------
Leuven|0041-001|28|5,5,διαφύγῃ,διαφεύγω,v3sasa---
Leuven|0041-001|28|6,6,βουλευομένους,βουλεύω,v-pppema-
Leuven|0041-001|28|7,7,τὸ,ὁ,l-s---nn-
Leuven|0041-001|28|8,8,πρᾶγμα,πρᾶγμα,n-s---nn-
Leuven|0041-001|28|9,9,ἐφ’,ἐπί,r--------
Leuven|0041-001|28|10,10,ὑμῖν,σύ,p2p---cd-
Leuven|0041-001|28|11,11,κείμενον,κεῖμαι,v-srpenn-
Leuven|0041-001|28|12,12,"""\""""","""\""""",u--------
Leuven|0041-001|28|13,13,.,.,u--------
"""""",14,[0],"""""",""""""
