@ref,@id,@form,@lemma,@postag
Leuven|0041-001|189|1,1,τὸ,ὁ,l-s---nn-
Leuven|0041-001|189|2,2,δὲ,δέ,d--------
Leuven|0041-001|189|3,3,αἴτιον,αἴτιος,a-s---nn-
Leuven|0041-001|189|4,4,",",",",u--------
Leuven|0041-001|189|5,5,ὅτε,ὅτε,c--------
Leuven|0041-001|189|6,6,οἱ,ὁ,l-p---mn-
Leuven|0041-001|189|7,7,μὲν,μέν,d--------
Leuven|0041-001|189|8,8,χαλεποὶ,χαλεπός,a-p---mn-
Leuven|0041-001|189|9,9,διαφθείρονται,διαφθείρω,v3ppie---
Leuven|0041-001|189|10,10,ταχέως,ταχύς,d--------
Leuven|0041-001|189|11,11,",",",",u--------
Leuven|0041-001|189|12,12,καὶ,καί,d--------
Leuven|0041-001|189|13,13,ἂν,ἐάν,c--------
Leuven|0041-001|189|14,14,μὴ,μή,d--------
Leuven|0041-001|189|15,15,καταλυθῶσι,καταλύω,v3pasp---
Leuven|0041-001|189|16,16,",",",",u--------
Leuven|0041-001|189|17,17,μῖσος,μῖσος,n-s---na-
Leuven|0041-001|189|18,18,ὅμως,ὅμως,d--------
Leuven|0041-001|189|19,19,τυραννίδος,τυραννίς,n-s---fg-
Leuven|0041-001|189|20,20,κατέλιπον,καταλείπω,v3paia---
Leuven|0041-001|189|21,21,τῷ,ὁ,l-s---nd-
Leuven|0041-001|189|22,22,πλήθει,πλῆθος,n-s---nd-
Leuven|0041-001|189|23,23,καὶ,καί,c--------
Leuven|0041-001|189|24,24,παντελῶς,παντελής,d--------
Leuven|0041-001|189|25,25,τὴν,ὁ,l-s---fa-
Leuven|0041-001|189|26,26,μοναρχίαν,μοναρχία,n-s---fa-
Leuven|0041-001|189|27,27,ἀφ’,ἀπό,r--------
Leuven|0041-001|189|28,28,ἑαυτῶν,ἑαυτοῦ,p-p---mg-
Leuven|0041-001|189|29,29,διέβαλον,διαβάλλω,v3paia---
Leuven|0041-001|189|30,30,.,.,u--------
"""""",31,[0],"""""",""""""
