@ref,@id,@form,@lemma,@postag
Leuven|0041-001|91|1,1,ἀλλὰ,ἀλλά,c--------
Leuven|0041-001|91|2,2,τὸ,ὁ,l-s---na-
Leuven|0041-001|91|3,3,ἀστάθμητον,ἀστάθμητος,a-s---nn-
Leuven|0041-001|91|4,4,αὐτοῦ,αὐτός,p-s---mg-
Leuven|0041-001|91|5,5,καὶ,καί,c--------
Leuven|0041-001|91|6,6,πετόμενον,πέτομαι,v-sppenn-
Leuven|0041-001|91|7,7,οὐδὲ,οὐδέ,d--------
Leuven|0041-001|91|8,8,ταύτην,οὗτος,p-s---fa-
Leuven|0041-001|91|9,9,ἐπιδέχεται,ἐπιδέχομαι,v3spie---
Leuven|0041-001|91|10,10,τὴν,ὁ,l-s---fa-
Leuven|0041-001|91|11,11,φρόνησιν,φρόνησις,n-s---fa-
Leuven|0041-001|91|12,12,",",",",u--------
Leuven|0041-001|91|13,13,ἵνα,ἵνα,c--------
Leuven|0041-001|91|14,14,ὅς,ὅς,p-s---mn-
Leuven|0041-001|91|15,15,τέ,τε,d--------
Leuven|0041-001|91|16,16,ἐστιν,εἰμί,v3spia---
Leuven|0041-001|91|17,17,εἰδῇ,οἶδα,v3srsa---
Leuven|0041-001|91|18,18,καὶ,καί,c--------
Leuven|0041-001|91|19,19,εἰς,εἰς,r--------
Leuven|0041-001|91|20,20,ὃ,ὅς,p-s---na-
Leuven|0041-001|91|21,21,χρήσιμος,χρήσιμος,a-s---mn-
Leuven|0041-001|91|22,22,·,·,u--------
"""""",23,[0],"""""",""""""
