@ref,@id,@form,@lemma,@postag
Leuven|14145|1|1,1,Ποτάμωνι,Ποτάμων,n-s---md-
Leuven|14145|1|2,2,στρατηγῷ,στρατηγός,n-s---md-
Leuven|14145|1|3,3,Ἀρσινοίτου,Ἀρσινοΐτης,n-s---mg-
Leuven|14145|1|4,4,Ἡρακλείδου,Ἡρακλείδης,n-s---cg-
Leuven|14145|1|5,5,μερίδος,μερίς,n-s---fg-
Leuven|14145|1|6,6,παρὰ,παρά,r--------
Leuven|14145|1|7,7,Πετεύριος,Πετεῦρις,n-s---mg-
Leuven|14145|1|8,8,Πετεύριος,Πετεῦρις,n-s---mg-
Leuven|14145|1|9,9,καὶ,καί,b--------
Leuven|14145|1|10,10,Σισόιτος,Σισόις,n-s---mg-
Leuven|14145|1|11,11,Ὀρσενούφεως,Ὀρσενοῦφις,n-s---mg-
Leuven|14145|1|12,12,καὶ,καί,b--------
Leuven|14145|1|13,13,τῶν,ὁ,l-p---mg-
Leuven|14145|1|14,14,λοιπῶν,λοιπός,a-p---mg-
Leuven|14145|1|15,15,ἱερέων,ἱερεύς,n-p---mg-
Leuven|14145|1|16,16,ἱεροῦ,ἱερός,a-s---ng-
Leuven|14145|1|17,17,τοῦ,ὁ,l-s---ng-
Leuven|14145|1|18,18,ὄντος,εἰμί,v-sppang-
Leuven|14145|1|19,19,ἐν,ἐν,r--------
Leuven|14145|1|20,20,κώμῃ,κώμη,n-s---fd-
Leuven|14145|1|21,21,Βακχιάδι,Βακχιάς,n-s---fd-
Leuven|14145|1|22,22,.,.,u--------
Leuven|14145|1|23,23,ἐγράφη,,---------
