@ref,@id,@form,@lemma,@postag
Leuven|27107|4|1,1,Ἀλέξανδρος,Ἀλέξανδρος,n-s---mn-
Leuven|27107|4|2,2,ὁ,ὁ,l-s---mn-
Leuven|27107|4|3,3,κτίστης,κτίστης,n-s---mn-
Leuven|27107|4|4,4,",",",",u--------
Leuven|27107|4|5,5,παραγενόμενος,παραγίγνομαι,v-sapmmn-
Leuven|27107|4|6,6,εὐθέως,εὐθύς,d--------
Leuven|27107|4|7,7,μετ’,μετά,r--------
Leuven|27107|4|8,8,ἄφιξίν,ἄφιξις,n-s---fa-
Leuven|27107|4|9,9,σου,σύ,p2s---cg-
Leuven|27107|4|10,10,καὶ,καί,b--------
Leuven|27107|4|11,11,καθηγηθεὶς,καθηγέομαι,v-sappmn-
Leuven|27107|4|12,12,ὡς,ὡς,c--------
Leuven|27107|4|13,13,καὶ,καί,d--------
Leuven|27107|4|14,14,δι’,διά,r--------
Leuven|27107|4|15,15,αὐτὸν,αὐτός,p-s---ma-
Leuven|27107|4|16,16,ἄλλας,ἄλλος,p-p---fa-
Leuven|27107|4|17,17,ἡμέρας,ἡμέρα,n-p---fa-
Leuven|27107|4|18,18,ἐπέμεινας,ἐπιμένω,v2saia---
Leuven|27107|4|19,19,παρ’,παρά,r--------
Leuven|27107|4|20,20,ἡμῖν,ἐγώ,p1p---cd-
Leuven|27107|4|21,21,ἵν’,ἵνα,c--------
Leuven|27107|4|22,22,αὐτῷ,αὐτός,p-s---md-
Leuven|27107|4|23,23,συνχρονήσῃς,συγχρονίζω,v2sasa---
Leuven|27107|4|24,24,",",",",u--------
Leuven|27107|4|25,25,ἐλυπήθη,λυπέω,v3saip---
Leuven|27107|4|26,26,ὅτι,ὅτι,c--------
Leuven|27107|4|27,27,σε,σύ,p2s---ca-
Leuven|27107|4|28,28,οὐ,οὐ,d--------
Leuven|27107|4|29,29,κατέλαβεν,καταλαμβάνω,v3saia---
Leuven|27107|4|30,30,.,.,u--------
