@ref,@id,@form,@lemma,@postag
Leuven|7667|10|1,1,ἐπιμέλου,ἐπιμελέομαι,v2spme---
Leuven|7667|10|2,2,δέ,δέ,d--------
Leuven|7667|10|3,3,καί,καί,d--------
Leuven|7667|10|4,4,σαυτοῦ,σεαυτοῦ,p2s---mg-
Leuven|7667|10|5,5,ὅπως,ὅπως,c--------
Leuven|7667|10|6,6,ὑγιαίνῃς,ὑγιαίνω,v2spsa---
Leuven|7667|10|7,7,καί,καί,b--------
Leuven|7667|10|8,8,πρός,πρός,r--------
Leuven|7667|10|9,9,ἡμᾶς,ἐγώ,p1p---ca-
Leuven|7667|10|10,10,ἐρρωμένος,ἐρρωμένος,a-s---mn-
Leuven|7667|10|11,11,ἔλθῃς,ἔρχομαι,v2sasa---
Leuven|7667|10|12,12,.,.,u--------
