@ref,@id,@form,@lemma,@postag
Leuven|5830|2|1,1,εὔχομαι,εὔχομαι,v1spie---
Leuven|5830|2|2,2,δὲ,δέ,d--------
Leuven|5830|2|3,3,τοῖς,ὁ,l-p---md-
Leuven|5830|2|4,4,θεοῖς,θεός,n-p---md-
Leuven|5830|2|5,5,",",",",u--------
Leuven|5830|2|6,6,ἵν’,ἵνα,c--------
Leuven|5830|2|7,7,ὑγιαίνοντά,ὑγιαίνω,v-sppama-
Leuven|5830|2|8,8,σε,σύ,p2s---ca-
Leuven|5830|2|9,9,ὑποδέξωμαι,ὑποδέχομαι,v1sasm---
Leuven|5830|2|10,10,κατὰ,κατά,r--------
Leuven|5830|2|11,11,πολλοὺς,πολύς,a-p---ma-
Leuven|5830|2|12,12,τρόπους,τρόπος,n-p---ma-
Leuven|5830|2|13,13,",",",",u--------
Leuven|5830|2|14,14,ὅτι,ὅτι,c--------
Leuven|5830|2|15,15,καὶ,καί,b--------
Leuven|5830|2|16,16,ἐκ,ἐκ,r--------
Leuven|5830|2|17,17,πολεμίων,πολέμιος,a-p---mg-
Leuven|5830|2|18,18,ἡμᾶς,ἐγώ,p1p---ca-
Leuven|5830|2|19,19,εἴρυσαι,ἐρύω,v2srie---
Leuven|5830|2|20,20,καὶ,καί,b--------
Leuven|5830|2|21,21,πάλι,πάλιν,d--------
Leuven|5830|2|22,22,εἰς,εἰς,r--------
Leuven|5830|2|23,23,πολεμίους,πολέμιος,a-p---ma-
Leuven|5830|2|24,24,ἡμᾶς,ἐγώ,p1p---ca-
Leuven|5830|2|25,25,ἀφεὶς,ἀφίημι,v-sapamn-
Leuven|5830|2|26,26,ἀπελήλυθας,ἀπέρχομαι,v2sria---
Leuven|5830|2|27,27,.,.,u--------
