@ref,@id,@form,@lemma,@postag
Leuven|8848|8|1,1,οὐκ,οὐ,d--------
Leuven|8848|8|2,2,ἐμέμψατο,μέμφομαι,v3saim---
Leuven|8848|8|3,3,γάρ,γάρ,d--------
Leuven|8848|8|4,4,τόν,ὁ,l-s---ma-
Leuven|8848|8|5,5,ἀδελφόν,ἀδελφός,n-s---ma-
Leuven|8848|8|6,6,σου,σύ,p2s---cg-
Leuven|8848|8|7,7,μέχρι,μέχρι,r--------
Leuven|8848|8|8,8,τούτου,οὗτος,p-s---ng-
Leuven|8848|8|9,9,",",",",u--------
Leuven|8848|8|10,10,ἀλλά,ἀλλά,b--------
Leuven|8848|8|11,11,λέγω,λέγω,v1spia---
Leuven|8848|8|12,12,μή,μή,c--------
Leuven|8848|8|13,13,ἐγκακήσῃ,ἐγκακέω,v3sasa---
Leuven|8848|8|14,14,.,.,u--------
