@ref,@id,@form,@lemma,@postag
Leuven|28820|3|1,1,θαυμάζω,θαυμάζω,v1spia---
Leuven|28820|3|2,2,πῶς,πῶς,d--------
Leuven|28820|3|3,3,οὐκ,οὐ,d--------
Leuven|28820|3|4,4,ἔγραψάς,γράφω,v2saia---
Leuven|28820|3|5,5,μοι,ἐγώ,p1s---cd-
Leuven|28820|3|6,6,οὔτε,οὔτε,b--------
Leuven|28820|3|7,7,διὰ,διά,r--------
Leuven|28820|3|8,8,Κέλερος,Κέλερ,n-s---mg-
Leuven|28820|3|9,9,οὔτε,οὔτε,b--------
Leuven|28820|3|10,10,διὰ,διά,r--------
Leuven|28820|3|11,11,Σεμπρωνίου,Σεμπρώνιος,n-s---mg-
Leuven|28820|3|12,12,.,.,u--------
