@ref,@id,@form,@lemma,@postag
Leuven|21347|2|1,1,παρήγγειλά,παραγγέλλω,v1saia---
Leuven|21347|2|2,2,σοι,σύ,p2s---cd-
Leuven|21347|2|3,3,ἐξερχόμενος,ἐξέρχομαι,v-sppemn-
Leuven|21347|2|4,4,ὅτι,ὅτι,c--------
Leuven|21347|2|5,5,μὴ,μή,d--------
Leuven|21347|2|6,6,ἀπέλθῃς,ἀπέρχομαι,v2sasa---
Leuven|21347|2|7,7,εἰς,εἰς,r--------
Leuven|21347|2|8,8,τὴν,ὁ,l-s---fa-
Leuven|21347|2|9,9,οἰκίαν,οἰκία,n-s---fa-
Leuven|21347|2|10,10,σου,σύ,p2s---cg-
Leuven|21347|2|11,11,καὶ,καί,b--------
Leuven|21347|2|12,12,ἀπῆλθες,ἀπέρχομαι,v2saia---
Leuven|21347|2|13,13,πάντως,πάντως,d--------
Leuven|21347|2|14,14,.,.,u--------
