@ref,@id,@form,@lemma,@postag
Leuven|30269|2|1,1,εὐτόνως,εὔτονος,d--------
Leuven|30269|2|2,2,πικραίνομαι,πικραίνω,v1spie---
Leuven|30269|2|3,3,σοι,σύ,p2s---cd-
Leuven|30269|2|4,4,ὅτι,ὅτι,c--------
Leuven|30269|2|5,5,οὐδέ,οὐδέ,d--------
Leuven|30269|2|6,6,φάσεις,φάσις,n-p---fa-
Leuven|30269|2|7,7,λαβεῖν,λαμβάνω,v--ana---
Leuven|30269|2|8,8,διά,διά,r--------
Leuven|30269|2|9,9,γραμμάτων,γράμμα,n-p---ng-
Leuven|30269|2|10,10,σου,σύ,p2s---cg-
Leuven|30269|2|11,11,κατηξίωσας,καταξιόω,v2saia---
Leuven|30269|2|12,12,με,ἐγώ,p1s---ca-
Leuven|30269|2|13,13,ἀφ’,ἀπό,c--------
Leuven|30269|2|14,14,ὅτε,ὅτε,c--------
Leuven|30269|2|15,15,ἐξῆλθα,ἐξέρχομαι,v1saia---
Leuven|30269|2|16,16,ἀπό,ἀπό,r--------
Leuven|30269|2|17,17,σοῦ,σύ,p2s---cg-
Leuven|30269|2|18,18,.,.,u--------
