@ref,@id,@form,@lemma,@postag
Leuven|80117|1|1,1,Βιῆγχις,Βιῆνχις,n-s---mn-
Leuven|80117|1|2,2,Ταπᾶτι,Ταπᾶτι,n-s---fd-
Leuven|80117|1|3,3,τῇ,ὁ,l-s---fd-
Leuven|80117|1|4,4,μητρί,μήτηρ,n-s---fd-
Leuven|80117|1|5,5,πολλά,πολύς,a-p---na-
Leuven|80117|1|6,6,χαίρειν,χαίρω,v--pna---
Leuven|80117|1|7,7,καί,καί,b--------
Leuven|80117|1|8,8,τοῖς,ὁ,l-p---md-
Leuven|80117|1|9,9,ἀδελφοῖς,ἀδελφός,n-p---md-
Leuven|80117|1|10,10,καί,καί,b--------
Leuven|80117|1|11,11,Σεραπίωνος,Σεραπίων,n-s---mg-
Leuven|80117|1|12,12,τοῦ,ὁ,l-s---mg-
Leuven|80117|1|13,13,ἐπιστάτου,ἐπιστάτης,n-s---mg-
Leuven|80117|1|14,14,μου,ἐγώ,p1s---cg-
Leuven|80117|1|15,15,τό,ὁ,l-s---na-
Leuven|80117|1|16,16,προσκύνημα,προσκύνημα,n-s---na-
Leuven|80117|1|17,17,καί,καί,b--------
Leuven|80117|1|18,18,τῶν,ὁ,l-p---mg-
Leuven|80117|1|19,19,παῤ,παρά,r--------
Leuven|80117|1|20,20,αὐτῷ,αὐτός,p-s---md-
Leuven|80117|1|21,21,ποιῶ,ποιέω,v1spia---
Leuven|80117|1|22,22,.,.,u--------
Leuven|80117|1|23,23,[0],,---------
