@ref,@id,@form,@lemma,@postag
Leuven|30514|2|1,1,πρό,πρό,r--------
Leuven|30514|2|2,2,μέν,μέν,d--------
Leuven|30514|2|3,3,πάντων,πᾶς,a-p---ng-
Leuven|30514|2|4,4,εὔχομαι,εὔχομαι,v1spie---
Leuven|30514|2|5,5,σε,σύ,p2s---ca-
Leuven|30514|2|6,6,ὑγιαίνειν,ὑγιαίνω,v--pna---
Leuven|30514|2|7,7,μετά,μετά,r--------
Leuven|30514|2|8,8,τῶν,ὁ,l-p---mg-
Leuven|30514|2|9,9,σῶν,σός,a-p---mg-
Leuven|30514|2|10,10,καί,καί,b--------
Leuven|30514|2|11,11,τό,ὁ,l-s---na-
Leuven|30514|2|12,12,προσκύνημα,προσκύνημα,n-s---na-
Leuven|30514|2|13,13,σου,σύ,p2s---cg-
Leuven|30514|2|14,14,ποιῶ,ποιέω,v1spia---
Leuven|30514|2|15,15,παρά,παρά,r--------
Leuven|30514|2|16,16,τῷ,ὁ,l-s---md-
Leuven|30514|2|17,17,κυρίῳ,κύριος,n-s---md-
Leuven|30514|2|18,18,Σεράπιδι,Σέραπις,n-s---md-
Leuven|30514|2|19,19,μετά,μετά,r--------
Leuven|30514|2|20,20,τοῦ,ὁ,l-s---ng-
Leuven|30514|2|21,21,τέκνου,τέκνον,n-s---ng-
Leuven|30514|2|22,22,σου,σύ,p2s---cg-
Leuven|30514|2|23,23,.,.,u--------
