@ref,@id,@form,@lemma,@postag
Leuven|25080|7|1,1,ἡ,ὁ,l-s---fn-
Leuven|25080|7|2,2,γὰρ,γάρ,d--------
Leuven|25080|7|3,3,πεῖρα,πεῖρα,n-s---fn-
Leuven|25080|7|4,4,ἐπάγεταί,ἐπάγω,v3spie---
Leuven|25080|7|5,5,με,ἐγώ,p1s---ca-
Leuven|25080|7|6,6,προτρέψασθαι,προσρέπω,v--anm---
Leuven|25080|7|7,7,ὑμᾶς,σύ,p2p---ca-
Leuven|25080|7|8,8,εἰρηνεύειν,εἰρηνεύω,v--pna---
Leuven|25080|7|9,9,καὶ,καί,b--------
Leuven|25080|7|10,10,μὴ,μή,d--------
Leuven|25080|7|11,11,διδόναι,δίδωμι,v--pna---
Leuven|25080|7|12,12,ἀφορμὰς,ἀφορμή,n-p---fa-
Leuven|25080|7|13,13,ἑτέροις,ἕτερος,a-p---md-
Leuven|25080|7|14,14,καθʼ,κατά,r--------
Leuven|25080|7|15,15,ὑμῶν,σύ,p2p---cg-
Leuven|25080|7|16,16,.,.,u--------
