@ref,@id,@form,@lemma,@postag
Leuven|28934|2|1,1,καλῶς,καλός,d--------
Leuven|28934|2|2,2,ποιήσεις,ποιέω,v2sfia---
Leuven|28934|2|3,3,ἐλθών,ἔρχομαι,v-sapamn-
Leuven|28934|2|4,4,πρός,πρός,r--------
Leuven|28934|2|5,5,ἐμέ,ἐγώ,p1s---ca-
Leuven|28934|2|6,6,ἄχρι,ἄχρι,c--------
Leuven|28934|2|7,7,τά,ὁ,l-p---nn-
Leuven|28934|2|8,8,πράγματα,πρᾶγμα,n-p---nn-
Leuven|28934|2|9,9,κατασταλῇ,κατασταλάω,v2spie---
Leuven|28934|2|10,10,",",",",u--------
Leuven|28934|2|11,11,ἐάν,ἐάν,c--------
Leuven|28934|2|12,12,δ’,δέ,b--------
Leuven|28934|2|13,13,ἄρα,ἄρα,d--------
Leuven|28934|2|14,14,μή,μή,d--------
Leuven|28934|2|15,15,",",",",u--------
Leuven|28934|2|16,16,μή,μή,d--------
Leuven|28934|2|17,17,ἀπέλθῃς,ἀπέρχομαι,v2sasa---
Leuven|28934|2|18,18,εἰς,εἰς,r--------
Leuven|28934|2|19,19,τό,ὁ,l-s---na-
Leuven|28934|2|20,20,Σατύρου,Σάτυρος,n-s---mg-
Leuven|28934|2|21,21,",",",",u--------
Leuven|28934|2|22,22,ἐπεί,ἐπεί,c--------
Leuven|28934|2|23,23,γάρ,γάρ,d--------
Leuven|28934|2|24,24,ἀκούομεν,ἀκούω,v1ppia---
Leuven|28934|2|25,25,ὅτι,ὅτι,c--------
Leuven|28934|2|26,26,κακά,κακός,a-p---na-
Leuven|28934|2|27,27,μέλλει,μέλλω,v3spia---
Leuven|28934|2|28,28,πράσσειν,πράσσω,v--pna---
Leuven|28934|2|29,29,.,.,u--------
Leuven|28934|2|30,30,[0],,---------
