@ref,@id,@form,@lemma,@postag
Leuven|23875|2|1,1,διὸ,διό,d--------
Leuven|23875|2|2,2,παρακαλῶ,παρακαλέω,v1spia---
Leuven|23875|2|3,3,τὴν,ὁ,l-s---fa-
Leuven|23875|2|4,4,σὴν,σός,a-s---fa-
Leuven|23875|2|5,5,παίδευσιν,παίδευσις,n-s---fa-
Leuven|23875|2|6,6,κελεῦσαι,κελεύω,v--ana---
Leuven|23875|2|7,7,τοῦτον,οὗτος,p-s---ma-
Leuven|23875|2|8,8,παραστῆναι,παρίστημι,v--ana---
Leuven|23875|2|9,9,καὶ,καί,b--------
Leuven|23875|2|10,10,ἀκροάσασθαι,ἀκροάομαι,v--anm---
Leuven|23875|2|11,11,τῆς,ὁ,l-s---fg-
Leuven|23875|2|12,12,μεταξὺ,μεταξύ,r--------
Leuven|23875|2|13,13,ἡμῶν,ἐγώ,p1p---cg-
Leuven|23875|2|14,14,ὑποθέσεως,ὑπόθεσις,n-s---fg-
Leuven|23875|2|15,15,τύπον,τύπος,n-s---ma-
Leuven|23875|2|16,16,τὸν,ὁ,l-s---ma-
Leuven|23875|2|17,17,παρϊστάμενον,παρίστημι,v-sppema-
Leuven|23875|2|18,18,αὐτῇ,αὐτός,p-s---fd-
Leuven|23875|2|19,19,ἐφ’,ἐπί,r--------
Leuven|23875|2|20,20,ἡμῖν,ἐγώ,p1p---cd-
Leuven|23875|2|21,21,παρασχεῖν,παρέχω,v--ana---
Leuven|23875|2|22,22,",",",",u--------
Leuven|23875|2|23,23,λογιώτατε,λόγιος,a-s---mvs
Leuven|23875|2|24,24,ἔκδικε,ἔκδικος,a-s---mv-
Leuven|23875|2|25,25,κύριε,κύριος,n-s---mv-
Leuven|23875|2|26,26,.,.,u--------
