@ref,@id,@form,@lemma,@postag,@relation
Leuven|1916|12|1,1,παραγενόμενοι,παραγίγνομαι,v-papmmn-,ADV
Leuven|1916|12|2,2,πρὸς,πρός,r--------,AuxP
Leuven|1916|12|3,3,ἡμᾶς,ἐγώ,p1p---ca-,OBJ
Leuven|1916|12|4,4,Ἀρίστων,Ἀρίστων,n-s---mn-,SBJ_CO
Leuven|1916|12|5,5,καὶ,καί,b--------,COORD
Leuven|1916|12|6,6,ἡ,ὁ,l-s---fn-,ATR
Leuven|1916|12|7,7,ἀδελφὴ,ἀδελφή,n-s---fn-,SBJ_CO
Leuven|1916|12|8,8,ἀνήγγελλον,ἀναγγέλλω,v3piia---,PRED
Leuven|1916|12|9,9,πεπολυωρῆσθαι,πολυωρέω,v--rne---,OBJ
Leuven|1916|12|10,10,ὑπὸ,ὑπό,r--------,AuxP
Leuven|1916|12|11,11,σοῦ,σύ,p2s---cg-,OBJ
Leuven|1916|12|12,12,κατὰ,κατά,r--------,AuxP
Leuven|1916|12|13,13,πάντα,πᾶς,a-p---na-,ADV
Leuven|1916|12|14,14,.,.,u--------,AuxK
