@ref,@id,@form,@lemma,@postag,@relation
Leuven|28820|13|1,1,καὶ,καί,d--------,AuxY
Leuven|28820|13|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|28820|13|3,3,ἐβουλόμην,βούλομαι,v1siie---,PRED
Leuven|28820|13|4,4,πᾶν,πᾶς,a-s---na-,OBJ
Leuven|28820|13|5,5,ποιῆσαι,ποιέω,v--ana---,OBJ_CO
Leuven|28820|13|6,6,καὶ,καί,b--------,COORD
Leuven|28820|13|7,7,ἐλθεῖν,ἔρχομαι,v--ana---,OBJ_CO
Leuven|28820|13|8,8,πρὸς,πρός,r--------,AuxP
Leuven|28820|13|9,9,ὑμᾶς,σύ,p2p---ca-,OBJ
Leuven|28820|13|10,10,πρῶτον,πρῶτος,a-s---na-,ADV
Leuven|28820|13|11,11,μὲν,μέν,d--------,AuxY
Leuven|28820|13|12,12,προσκυνῆσαι,προσκυνέω,v--ana---,ADV_CO
Leuven|28820|13|13,13,σου,σύ,p2s---cg-,ATR
Leuven|28820|13|14,14,τὸ,ὁ,l-s---na-,ATR
Leuven|28820|13|15,15,ἀγαθὸν,ἀγαθός,a-s---na-,ATR_CO
Leuven|28820|13|16,16,καὶ,καί,b--------,COORD
Leuven|28820|13|17,17,φιλότεκνον,φιλότεκνος,a-s---na-,ATR_CO
Leuven|28820|13|18,18,ἦθος,ἦθος,n-s---na-,OBJ
Leuven|28820|13|19,19,",",",",u--------,AuxX
Leuven|28820|13|20,20,δεύτερον,δεύτερος,a-s---na-,ADV
Leuven|28820|13|21,21,καὶ,καί,b--------,COORD
Leuven|28820|13|22,22,περὶ,περί,r--------,AuxP
Leuven|28820|13|23,23,τούτων,οὗτος,p-p---ng-,ADV_CO
Leuven|28820|13|24,24,.,.,u--------,AuxK
