@ref,@id,@form,@lemma,@postag,@relation
Leuven|27086|23|1,1,εὐχαριστοῦμεν,εὐχαριστέω,v1ppia---,PRED_CO
Leuven|27086|23|2,2,τοῖς,ὁ,l-p---md-,ATR
Leuven|27086|23|3,3,θεοῖς,θεός,n-p---md-,OBJ
Leuven|27086|23|4,4,ὅτι,ὅτι,c--------,AuxC
Leuven|27086|23|5,5,ὅμοιός,ὅμοιος,a-s---mn-,PNOM
Leuven|27086|23|6,6,σού,σύ,p2s---cg-,ATR
Leuven|27086|23|7,7,ἐστιν,εἰμί,v3spia---,OBJ
Leuven|27086|23|8,8,",",",",u--------,COORD
Leuven|27086|23|9,9,οὐδεὶς,οὐδείς,p-s---mn-,SBJ
Leuven|27086|23|10,10,δύναται,δύναμαι,v3spie---,PRED_CO
Leuven|27086|23|11,11,αὐτὸν,αὐτός,p-s---ma-,OBJ
Leuven|27086|23|12,12,καταγελάσαι,καταγελάω,v--ana---,OBJ
Leuven|27086|23|13,13,.,.,u--------,AuxK
