@ref,@id,@form,@lemma,@postag,@relation
Leuven|2117|4|1,1,εἴπερ,εἴπερ,c--------,AuxC
Leuven|2117|4|2,2,οὖν,οὖν,d--------,AuxY
Leuven|2117|4|3,3,δεῖ,δέω,v3spia---,ADV
Leuven|2117|4|4,4,χωννύναι,χώννυμι,v--pna---,SBJ
Leuven|2117|4|5,5,",",",",u--------,AuxX
Leuven|2117|4|6,6,γράψατε,γράφω,v2pama---,PRED
Leuven|2117|4|7,7,οἷς,ὅς,p-p---md-,OBJ
Leuven|2117|4|8,8,δεῖ,δέω,v3spia---,OBJ
Leuven|2117|4|9,9,ἤδη,ἤδη,d--------,ADV
Leuven|2117|4|10,10,ἵνα,ἵνα,c--------,AuxC
Leuven|2117|4|11,11,στεγασθῇ,στεγάζω,v3sasp---,ADV
Leuven|2117|4|12,12,·,·,u--------,AuxK
