@ref,@id,@form,@lemma,@postag,@relation
Leuven|36197|4|1,1,θελήσῃ,ἐθέλω,v3sasa---,PRED
Leuven|36197|4|2,2,οὖν,οὖν,d--------,AuxY
Leuven|36197|4|3,3,ἡ,ὁ,l-s---fn-,ATR
Leuven|36197|4|4,4,σὴ,σός,a-s---fn-,ATR
Leuven|36197|4|5,5,ἀρετὴ,ἀρετή,n-s---fn-,SBJ
Leuven|36197|4|6,6,καὶ,καί,d--------,AuxZ
Leuven|36197|4|7,7,ἂν,ἄν,d--------,AuxY
Leuven|36197|4|8,8,ἐπὶ,ἐπί,r--------,AuxP
Leuven|36197|4|9,9,τοῦ,ὁ,l-s---ng-,ATR
Leuven|36197|4|10,10,παρόντος,πάρειμι,v-sppang-,ADV
Leuven|36197|4|11,11,δηλῶσαί,δηλόω,v--ana---,OBJ_CO
Leuven|36197|4|12,12,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|36197|4|13,13,πρό,πρό,r--------,AuxP
Leuven|36197|4|14,14,τε,τε,b--------,AuxY
Leuven|36197|4|15,15,πάντων,πᾶς,a-p---mg-,ADV
Leuven|36197|4|16,16,περὶ,περί,r--------,AuxP
Leuven|36197|4|17,17,τῆς,ὁ,l-s---fg-,ATR
Leuven|36197|4|18,18,σῆς,σός,a-s---fg-,ATR_CO
Leuven|36197|4|19,19,ὑγιείας,ὑγίεια,n-s---fg-,OBJ_CO
Leuven|36197|4|20,20,καὶ,καί,b--------,COORD
Leuven|36197|4|21,21,πάντων,πᾶς,a-p---mg-,ATR
Leuven|36197|4|22,22,τῶν,ὁ,l-p---mg-,ATR
Leuven|36197|4|23,23,ὑμῖν,σύ,p2p---cd-,OBJ
Leuven|36197|4|24,24,διαφερόντων,διαφέρω,v-pppamg-,ATR_CO
Leuven|36197|4|25,25,καὶ,καί,b--------,COORD
Leuven|36197|4|26,26,εἰ,εἰ,c--------,AuxC
Leuven|36197|4|27,27,ἐδέξω,δέχομαι,v2saim---,OBJ_CO
Leuven|36197|4|28,28,τὰ,ὁ,l-p---na-,ATR
Leuven|36197|4|29,29,γράμματά,γράμμα,n-p---na-,OBJ
Leuven|36197|4|30,30,μου,ἐγώ,p1s---cg-,ATR
Leuven|36197|4|31,31,τὰ,ὁ,l-p---na-,ATR
Leuven|36197|4|32,32,διὰ,διά,r--------,AuxP
Leuven|36197|4|33,33,τοῦ,ὁ,l-s---mg-,ATR
Leuven|36197|4|34,34,κυρίου,κύριος,n-s---mg-,ATR
Leuven|36197|4|35,35,Θεοφίλου,Θεόφιλος,n-s---mg-,ADV
Leuven|36197|4|36,36,μετὰ,μετά,r--------,AuxP
Leuven|36197|4|37,37,τῶν,ὁ,l-p---ng-,ATR
Leuven|36197|4|38,38,ἀποσταλέντων,ἀποστέλλω,v-pappng-,ATR
Leuven|36197|4|39,39,παρ’,παρά,r--------,AuxP
Leuven|36197|4|40,40,ἐμοῦ,ἐγώ,p1s---cg-,ADV
Leuven|36197|4|41,41,μήλων,μῆλον,n-p---ng-,ADV
Leuven|36197|4|42,42,πεντήκοντα,πεντήκοντα,m--------,ATR
Leuven|36197|4|43,43,καὶ,καί,b--------,COORD
Leuven|36197|4|44,44,προσκυνῆσαι,προσκυνέω,v--ana---,OBJ_CO
Leuven|36197|4|45,45,ἐξ,ἐκ,r--------,AuxP
Leuven|36197|4|46,46,ἐμοῦ,ἐγώ,p1s---cg-,ADV
Leuven|36197|4|47,47,πάντας,πᾶς,a-p---ma-,ATR
Leuven|36197|4|48,48,τοὺς,ὁ,l-p---ma-,ATR
Leuven|36197|4|49,49,φιλεῖν,φιλέω,v--pna---,OBJ
Leuven|36197|4|50,50,ἀξιοῦντας,ἀξιόω,v-pppama-,OBJ
Leuven|36197|4|51,51,",",",",u--------,AuxX
Leuven|36197|4|52,52,ἐξαιρέτως,ἐξαιρετός,d--------,ADV
Leuven|36197|4|53,53,τὸν,ὁ,l-s---ma-,ATR
Leuven|36197|4|54,54,δεσπότην,δεσπότης,n-s---ma-,ATR
Leuven|36197|4|55,55,μου,ἐγώ,p1s---cg-,ATR
Leuven|36197|4|56,56,τὸν,ὁ,l-s---ma-,ATR
Leuven|36197|4|57,57,κύριον,κύριος,n-s---ma-,ATR
Leuven|36197|4|58,58,Φωσφόρον,Φωσφόρος,n-s---ma-,APOS
Leuven|36197|4|59,59,.,.,u--------,AuxX
