@ref,@id,@form,@lemma,@postag,@relation
Leuven|32904|2|1,1,πρό,πρό,r--------,AuxP
Leuven|32904|2|2,2,παντός,πᾶς,a-s---ng-,ADV
Leuven|32904|2|3,3,εὔχομαι,εὔχομαι,v1spie---,PRED
Leuven|32904|2|4,4,τῷ,ὁ,l-s---md-,ATR
Leuven|32904|2|5,5,θεῷ,θεός,n-s---md-,OBJ
Leuven|32904|2|6,6,ὑγιαίνουσαν,ὑγιαίνω,v-sppafa-,ADV_CO
Leuven|32904|2|7,7,σε,σύ,p2s---ca-,SBJ
Leuven|32904|2|8,8,καί,καί,b--------,COORD
Leuven|32904|2|9,9,εὐθυμοῦσαν,εὐθυμέω,v-sppafa-,ADV_CO
Leuven|32904|2|10,10,ἀπολαβεῖν,ἀπολαμβάνω,v--ana---,OBJ
Leuven|32904|2|11,11,τά,ὁ,l-p---na-,ATR
Leuven|32904|2|12,12,παρ’,παρά,r--------,AuxP
Leuven|32904|2|13,13,ἐμοῦ,ἐγώ,p1s---cg-,ATR
Leuven|32904|2|14,14,γράμματα,γράμμα,n-p---na-,OBJ
Leuven|32904|2|15,15,·,·,u--------,AuxK
