@ref,@id,@form,@lemma,@postag,@relation
Leuven|7667|10|1,1,ἐπιμέλου,ἐπιμελέομαι,v2spme---,PRED
Leuven|7667|10|2,2,δέ,δέ,d--------,AuxY
Leuven|7667|10|3,3,καί,καί,d--------,AuxZ
Leuven|7667|10|4,4,σαυτοῦ,σεαυτοῦ,p2s---mg-,OBJ
Leuven|7667|10|5,5,ὅπως,ὅπως,c--------,AuxC
Leuven|7667|10|6,6,ὑγιαίνῃς,ὑγιαίνω,v2spsa---,ADV_CO
Leuven|7667|10|7,7,καί,καί,b--------,COORD
Leuven|7667|10|8,8,πρός,πρός,r--------,AuxP
Leuven|7667|10|9,9,ἡμᾶς,ἐγώ,p1p---ca-,OBJ
Leuven|7667|10|10,10,ἐρρωμένος,ἐρρωμένος,a-s---mn-,ADV
Leuven|7667|10|11,11,ἔλθῃς,ἔρχομαι,v2sasa---,ADV_CO
Leuven|7667|10|12,12,.,.,u--------,AuxK
