@ref,@id,@form,@lemma,@postag,@relation
Leuven|27328|3|1,1,πέμψον,πέμπω,v2sama---,PRED
Leuven|27328|3|2,2,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|27328|3|3,3,τά,ὁ,l-p---na-,ATR
Leuven|27328|3|4,4,λωδίκια,λωδίκιον,n-p---na-,OBJ_CO
Leuven|27328|3|5,5,τῆς,ὁ,l-s---fg-,ATR
Leuven|27328|3|6,6,τιμῆς,τιμή,n-s---fg-,ATR
Leuven|27328|3|7,7,καί,καί,b--------,COORD
Leuven|27328|3|8,8,ἐρίδια,ἐρίδιον,n-p---na-,OBJ_CO
Leuven|27328|3|9,9,καλά,καλός,a-p---na-,ATR
Leuven|27328|3|10,10,πόκους,πόκος,n-p---ma-,APOS
Leuven|27328|3|11,11,τέσσαρας,τέσσαρες,m-p---ma-,ATR
Leuven|27328|3|12,12,.,.,u--------,AuxK
