@ref,@id,@form,@lemma,@postag,@relation
Leuven|30121|4|1,1,ἴσθι,οἶδα,v2srma---,ExD
Leuven|30121|4|2,2,ἐλευθέραν,ἐλεύθερος,a-s---fa-,OCOMP
Leuven|30121|4|3,3,με,ἐγώ,p1s---ca-,OBJ
Leuven|30121|4|4,4,ἐποίησεν,ποιέω,v3saia---,OBJ
Leuven|30121|4|5,5,",",",",u--------,AuxX
Leuven|30121|4|6,6,ὅθεν,ὅθεν,d--------,ADV
Leuven|30121|4|7,7,καί,καί,d--------,AuxZ
Leuven|30121|4|8,8,σύ,σύ,p2s---cn-,SBJ
Leuven|30121|4|9,9,εὐχαρίστησον,εὐχαριστέω,v2sama---,ADV
Leuven|30121|4|10,10,αὐτῷ,αὐτός,p-s---md-,OBJ
Leuven|30121|4|11,11,λίαν,λίαν,d--------,ADV
Leuven|30121|4|12,12,.,.,u--------,AuxK
