@ref,@id,@form,@lemma,@postag,@relation
Leuven|1781|4|1,1,ἐπίστασαι,ἐπίσταμαι,v2spie---,PRED
Leuven|1781|4|2,2,ὡς,ὡς,c--------,AuxC
Leuven|1781|4|3,3,κατέλιπές,καταλείπω,v2saia---,OBJ_CO
Leuven|1781|4|4,4,με,ἐγώ,p1s---ca-,OBJ
Leuven|1781|4|5,5,ἐν,ἐν,r--------,AuxP
Leuven|1781|4|6,6,Συρίαι,Συρία,n-s---fd-,ADV
Leuven|1781|4|7,7,μετὰ,μετά,r--------,AuxP
Leuven|1781|4|8,8,Κρότου,Κρότος,n-s---mg-,ADV
Leuven|1781|4|9,9,καὶ,καί,b--------,AuxY
Leuven|1781|4|10,10,ἐποίουν,ποιέω,v1siia---,OBJ_CO
Leuven|1781|4|11,11,πάντα,πᾶς,a-p---na-,ATR
Leuven|1781|4|12,12,τὰ,ὁ,l-p---na-,ATR
Leuven|1781|4|13,13,προστασσόμενα,προστάσσω,v-pppena-,OBJ
Leuven|1781|4|14,14,τὰ,ὁ,l-p---na-,ATR
Leuven|1781|4|15,15,κατὰ,κατά,r--------,AuxP
Leuven|1781|4|16,16,τὰς,ὁ,l-p---fa-,ATR
Leuven|1781|4|17,17,καμήλους,κάμηλος,n-p---fa-,ADV
Leuven|1781|4|18,18,καὶ,καί,b--------,COORD
Leuven|1781|4|19,19,ἤμην,εἰμί,v1siie---,OBJ_CO
Leuven|1781|4|20,20,σοι,σύ,p2s---cd-,ADV
Leuven|1781|4|21,21,ἀνέγκλητος,ἀνέγκλητος,a-s---mn-,PNOM
Leuven|1781|4|22,22,.,.,u--------,AuxK
