@ref,@id,@form,@lemma,@postag,@relation
Leuven|28410|9|1,1,ἂν,ἐάν,c--------,AuxC
Leuven|28410|9|2,2,μὴ,μή,d--------,AuxZ
Leuven|28410|9|3,3,πέμψῃς,πέμπω,v2sasa---,ADV
Leuven|28410|9|4,4,οὐ,οὐ,d--------,AuxZ
Leuven|28410|9|5,5,μὴ,μή,d--------,AuxZ
Leuven|28410|9|6,6,φάγω,ἐσθίω,v1sasa---,PRED_CO
Leuven|28410|9|7,7,",",",",u--------,COORD
Leuven|28410|9|8,8,οὐ,οὐ,d--------,AuxZ
Leuven|28410|9|9,9,μὴ,μή,d--------,AuxZ
Leuven|28410|9|10,10,πίνω,πίνω,v1spsa---,PRED_CO
Leuven|28410|9|11,11,·,·,u--------,AuxK
