,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
16,ἧκε,ἵημι,,ἥκω,,v3saia---,,,,,,,,,,,,,,,,,,,,
17,μετριώτερ᾽,μέτριος,,,,a-p---nac,,,,,,,,,,,,,,,,,,,,
18,ἂν,,,ἄν,,d--------,,,,,ἐάν,,,,,,,,,,,,,,,
19,διεπέπρακτο,διαπράσσω,,,,v3slie---,,,,,,,,,,,,,,,,,,,,
32,ἄλλ᾽,ἄλλος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,
33,ἢ,,,ἤ,,c--------,d--------,,,,,,,,,,,,,,,,,,,
34,ὅπερ,ὅσπερ,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
63,τούσδε,ὅδε,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
70,λέγων,,,λέγω,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
99,ὅλην,,,ὅλος,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
105,ἐπειδὴ,,,ἐπειδή,,c--------,,,,,,,,,,,,,,,,,,,,
110,ἀπεῖπε,,,ἀπολέγω,,v3saia---,,,,,,,,,,,,,,,,,,,,
113,ἑαυτοῦ,ἑαυτοῦ,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,
116,Ἀντικλῆς,Ἀντικλέης,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
117,Καλλίου,,,Καλλίας,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
121,ἄπεστιν,,,ἄπειμι,,v3spia---,,,,,,,,,,,,,,,,,,,,
123,κληρούχων,,,κληροῦχος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
126,ἐρῶ,,,λέγω,,v1sfia---,,,,,,,,,,,,,,,,,,,,
127,ἀπηλλάγη,,,ἀπαλλάσσω,,v3saip---,,,,,,,,,,,,,,,,,,,,
129,Ἀντικλέους,Ἀντικλέης,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
133,ἑαυτόν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
135,-δὲ,δέ,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
138,ἥψατο,ἅπτω,,,,v3saim---,,,,,,,,,,,,,,,,,,,,
141,οὗ,ὅς,,,,p-s---ng-,p-s---mg-,d--------,,,,,,,,,,,,,,,,,,
170,ἰδὼν,,,ὁράω,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
174,ἑαυτῷ,ἑαυτοῦ,,,,p-s---md-,,,,,,,,,,,,,,,,,,,,
179,ἑαυτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
187,ἐσκέψατο,σκέπτομαι,,,,v3saie---,,,,,,,,,,,,,,,,,,,,
189,αἰσχίστων,αἰσχρός,,,,a-p---ngs,,,,,,,,,,,,,,,,,,,,
211,εἰπεῖν,,,λέγω,,v--ana---,,,,,,,,,,,,,,,,,,,,
216,σαφῶς,σαφής,,,,d--------,,,,,,,,,,,,,,,,,,,,
218,εἰπὼν,,,λέγω,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
234,ὅτι,,,ὅτι,,c--------,,,,,ὅστις,,,,,,,,,,,,,,,
253,ταμίας,,,ταμίας,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
258,λέγεται,,,λέγω,,v3spie---,,,,,,,,,,,,,,,,,,,,
281,ἰδών,,,ὁράω,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
285,αὑτὸν,ἑαυτοῦ,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
288,ἡγήσατο,,,ἡγέομαι,,v3saie---,,,,,,,,,,,,,,,,,,,,
290,αὑτοῦ,ἑαυτοῦ,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,
292,διελέχθη,διαλέγω,,,,v3saip---,,,,,,,,,,,,,,,,,,,,
300,εὐθὺς,,,εὐθύς,,d--------,,,,,,,,,,,,,,,,,,,,
301,ἐπεπείκει,πείθω,,,,v3slia---,,,,,,,,,,,,,,,,,,,,
310,εἰκότως,ἐοικότως,,,,d--------,,,,,,,,,,,,,,,,,,,,
312,ἀπήλλακτο,,,ἀπαλλάσσω,,v3slie---,,,,,,,,,,,,,,,,,,,,
316,ὠδυνᾶτο,ὀδυνάω,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
318,μάτην,μάτη,,μάτην,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
320,γ᾽,γε,,,,d--------,,,,,,,,,,,,,,,,,,,,
327,ἐφοίτα,φοιτάω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
331,ἠνώχλει,,,ἐνοχλέω,,v3siia---,,,,,,,,,,,,,,,,,,,,
335,μεθυσθέντες,μεθύσκω,,,,v-pappmn-,,,,,,,,,,,,,,,,,,,,
337,ποτε,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
343,λέγειν,,,λέγω,,v--pna---,,,,,,,,,,,,,,,,,,,,
350,ὁδόν,,,ὁδός,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
352,τέ,τε,,,,d--------,,,,,,,,,,,,,,,,,,,,
353,διασείστους,διάσειστος,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
354,φιμοὺς,φιμός,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
364,δήσαντες,,,δέω,,v-papamn-,,,,,,,,,,,,,,,,,,,,
370,οὕτω,οὕτως,,,,d--------,,,,,,,,,,,,,,,,,,,,
372,γείτονας,γείτων,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
388,εἴωθε,ἔθω,,,,v3sria---,,,,,,,,,,,,,,,,,,,,
391,ὅ,ὁ,,ὅς,,l-s---mn-,,,,,,,,,,,,,,,,,,,,
396,ἐπῄει,ἔπειμι,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
404,λέγοντες,,,λέγω,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
426,τευξόμενόν,τυγχάνω,,,,v-sfpmma-,,,,,,,,,,,,,,,,,,,,
432,νοῦν,νόος,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
433,βαρέως,βαρύς,,,,d--------,,,,,,,,,,,,,,,,,,,,
437,ἑκατέρῳ,ἑκάτερος,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,
442,ἐναντίον,ἐναντίος,,,,a-s---na-,d--------,,,,,,,,,,,,,,,,,,,
445,ἦγεν,,,ἄγω,,v3paie---,,,,,,,,,,,,,,,,,,,,
450,προσπίπτει,,,προσπίπτω,,v3spia---,,,,,,,,,,,,,,,,,,,,
460,λήξεις,,,λήξις,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
462,προϊόντος,πρόειμι,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
470,ποτὲ,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,,
471,χρησαμένῳ,χράω,,,,v-sapmmd-,,,,,,,,,,,,,,,,,,,,
480,παρῄει,πάρειμι,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
483,προσεπολέμει,προσπολεμέω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
484,Ἀριστοφῶντι,,,Ἀριστοφῶν,,n-s---md-,,,,,,,,,,,,,,,,,,,,
