,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
7,οὔ,οὐ,οὔτε,,,d--------,,,,,,,,,,,,,,,,,,,,
8,-τε,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
9,γραφὴν,,γραφή,,,n-s---fa-,n-s---fa-,,,,,,,,,,,,,,,,,,,
11,-τ᾽,τε,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
13,εὐθύναις,εὔθυνα,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,,
41,ἰδίᾳ,ἴδιος,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,
45,προϊόντος,,,πρόειμι,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
81,εἰωθότες,ἔθω,,,,v-prpamn-,,,,,,,,,,,,,,,,,,,,
83,λέγεσθαι,,,λέγω,,v--pne---,,,,,,,,,,,,,,,,,,,,
103,-θ᾽,τε,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
106,αἰτία,αἴτιος,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,
115,προεῖπον,,,προλέγω,,v3paia---,,,,,,,,,,,,,,,,,,,,
116,αἰσχρῶς,αἰσχρός,,,,d--------,,,,,,,,,,,,,,,,,,,,
120,ὥς,ὡς,,,,c--------,,,,,,,,,,,,,,,,,,,,
136,μετρίως,μέτριος,,,,d--------,,,,,,,,,,,,,,,,,,,,
139,προειρῆσθαι,,,προλέγω,,v--rne---,,,,,,,,,,,,,,,,,,,,
144,πρώτοις,,,πρῶτος,,a-p---nd-,,,,,,,,,,,,,,,,,,,,
145,λέγειν,,,λέγω,,v--pna---,,,,,,,,,,,,,,,,,,,,
146,ὅτι,,,ὅτι,,c--------,d--------,,,,ὅστις,,,,,,,,,,,,,,,
157,χρήσασθαι,,,,,v--anm---,,,,χράω,,,,,,,,,,,,,,,,
172,δημοκρατούμεναι,δημοκρατέομαι,,,,v-pppefn-,,,,,,,,,,,,,,,,,,,,
177,δημοκρατουμένων,δημοκρατέομαι,,,,v-pppemg-,,,,,,,,,,,,,,,,,,,,
180,σῴζουσι,,,σῴζω,,v3ppia---,,,,,,,,,,,,,,,,,,,,
190,πολιτευομένοις,πολιτεύω,,,,v-pppemd-,,,,,,,,,,,,,,,,,,,,
199,ἢ,ἤ,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
200,λέγοντας,,,λέγω,,v-pppama-,,,,,,,,,,,,,,,,,,,,
205,εὐνομῆσθε,εὐνομέομαι,,εὐνομέω,,v2ppse---,,,,,,,,,,,,,,,,,,,,
214,καλῶς,,,καλός,,d--------,,,,,,,,,,,,,,,,,,,,
244,πρῶτον,πρῶτος,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
263,μόνον,μόνος,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
268,παρακατέθεντο,παρακατατίθεμαι,,παρακατατίθημι,,v3paim---,,,,,,,,,,,,,,,,,,,,
280,οὕτω,οὕτως,,,,d--------,,,,,,,,,,,,,,,,,,,,
281,ἄν,,ἐάν,ἄν,,d--------,c--------,,,,,,,,,,,,,,,,,,,
288,διεξελθεῖν,διεξέρχομαι,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
295,ἐναντίως,ἐναντίος,,,,d--------,,,,,,,,,,,,,,,,,,,,
301,παρακατατιθέμεθα,,,παρακατατίθημι,,v1ppie---,,,,,,,,,,,,,,,,,,,,
323,εἰσιέναι,εἰσίημι,,εἴσειμι,,v--pna---,,,,,,,,,,,,,,,,,,,,
