,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,postag_1,postag_2,postag_3,postag_4,postag_5,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
7,λέγειν,,,λέγω,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
12,ἐξ,ἐκ,,,,,r--------,,,,,,,,,,,,,,,,,,,,,
30,μᾶλλον,,,,μάλα,,d-------c,,,,,,,,,,,,,,,,,,,,,
32,οὗ,,ὅς,,,,d--------,p-s---ng-,p-s---mg-,,,,,,,,,,,,,,,,,,,
44,ἐνταυθοῖ,ἐνταυθοῖ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
51,σωθῆναι,,,σῴζω,,,v--anp---,,,,,,,,,,,,,,,,,,,,,
73,πιστοὶ,,,πιστός,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,,
74,ψεύδεσθαι,ψεύδω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
75,ἐσώθησαν,,,σῴζω,,,v3paip---,,,,,,,,,,,,,,,,,,,,,
77,ἐψεύσαντο,ψεύδω,,,,,v3paim---,,,,,,,,,,,,,,,,,,,,,
80,ὅταν,ὅταν,,,,,c--------,,,,,,,,,,,,,,,,,,,,,
82,ἄπειρος,,,ἄπειρος,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
89,ἢ,,,ἤ,,,c--------,d--------,,,,,,,,,,,,,,,,,,,,
98,ἅπερ,ὅσπερ,,,,,p-p---na-,p-p---nn-,,,,,,,,,,,,,,,,,,,,
99,οἱ,ὁ,ἕ,,,,l-p---mn-,p3s---md-,,,,,,,,,,,,,,,,,,,,
102,σφῶν,σφεῖς,,,,,p3p---mg-,,,,,,,,,,,,,,,,,,,,,
110,τι,τις,,,,,p-s---na-,a-s---na-,a-s---nn-,p-s---nn-,,,,,,,,,,,,,,,,,,
111,εἰκὸς,,ἔοικα,,,,v-srpann-,v-srpana-,,,,,,,,,,,,,,,,,,,,
120,οὗπερ,ὅσπερ,,,,,p-s---ng-,,,,,,,,,,,,,,,,,,,,,
123,τάδε,ὅδε,,,,,p-p---na-,,,,,,,,,,,,,,,,,,,,,
136,ὀρθῶς,ὀρθός,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
139,εἰρῆσθαι,,,,,,v--rne---,,,,,λέγω,,,,,,,,,,,,,,,,
141,οὔ,οὐ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
159,αὑτῷ,ἑαυτοῦ,,,,,p-s---md-,,,,,,,,,,,,,,,,,,,,,
163,μόνον,μόνος,,,,,a-s---na-,a-s---ma-,a-s---nn-,,,,,,,,,,,,,,,,,,,
164,λεγομένων,,,λέγω,,,v-pppeng-,,,,,,,,,,,,,,,,,,,,,
169,ἀδήλῳ,ἄδηλος,,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,,,
187,χεῖρον,,,κακός,,,a-s---nac,,,,,,,,,,,,,,,,,,,,,
189,λέγοντας,,,λέγω,,,v-pppama-,,,,,,,,,,,,,,,,,,,,,
198,νομίμως,νόμιμος,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
209,πρῶτον,πρῶτος,,,,,a-s---nas,a-s---mas,a-s---nns,,,,,,,,,,,,,,,,,,,
212,βιαιότατα,βίαιος,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,
214,τόνδε,ὅδε,,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,,
220,ἂν,,ἐάν,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,
233,ἐμοῦ,ἐμός,ἐγώ,,,,a-s---ng-,p1s---mg-,,,,,,,,,,,,,,,,,,,,
240,τόδε,ὅδε,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,
261,γῇ,γῆ,,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,,
266,κακούργων,,,κακοῦργος,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,,
281,προσὸν,,,πρόσειμι,,,v-sppana-,,,,,,,,,,,,,,,,,,,,,
299,μέγιστόν,μέγας,,,,,a-s---nas,a-s---nns,,,,,,,,,,,,,,,,,,,,
308,εἴργεσθαι,ἔργω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
319,ἀνταποθανεῖν,,,ἀνταποθνῄσκω,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
324,σφίσιν,σφεῖς,,,,,p3p---md-,,,,,,,,,,,,,,,,,,,,,
329,τεθνηκότι,,,θνῄσκω,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
332,προϊόντος,,,πρόειμι,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,,
335,οἶμαι,οἴομαι,,,,,v1spie---,,,,,,,,,,,,,,,,,,,,,
336,ἐπίστασθαι,ἐφίστημι,ἐπίσταμαι,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
345,χεῖρας,χείρ,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,
353,τ-,ὁ,,,,,l-s---na-,l-p---na-,l-s---nd-,l-s---ng-,l-s---nn-,,τε,,,,,,,,,,,,,,,
354,οὐναντίον,ἐναντίος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,
358,διομόσασθαι,διόμνυμι,,,,,v--anm---,,,,,,,,,,,,,,,,,,,,,
360,μέγιστον,μέγας,,,,,a-s---mas,a-s---nns,,,,,,,,,,,,,,,,,,,,
363,σαυτῷ,,,σεαυτοῦ,,,p-s---md-,,,,,,,,,,,,,,,,,,,,,
368,ἦ,ἦ,εἰμί,,,,d--------,v1siia---,,,,,,,,,,,,,,,,,,,,
374,ἔκτεινα,,,κτείνω,,,v1saia---,,,,,,,,,,,,,,,,,,,,,
384,ἐσωζόμην,,,σῴζω,,,v1siie---,,,,,,,,,,,,,,,,,,,,,
388,σεαυτῷ,,,σεαυτοῦ,,,p-s---md-,,,,,,,,,,,,,,,,,,,,,
397,διομοσαμένους,διόμνυμι,,,,,v-papmma-,,,,,,,,,,,,,,,,,,,,,
417,λέγεις,,,λέγω,,,v2spia---,,,,,,,,,,,,,,,,,,,,,
423,ἀπιών,ἄπειμι,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,
424,ὡσπερεὶ,ὥσπερ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
425,ἄκοντά,ἀέκων,,ἄκων,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,,
438,ἐρήμην,ἐρῆμος,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,
439,ὀφλεῖν,,,ὀφλισκάνω,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
442,ἐξεῖναι,ἔξειμι,,ἐξίημι,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
453,τοιούτων,τοιοῦτος,,,,,p-p---ng-,,,,,,,,,,,,,,,,,,,,,
455,κάλλιστα,καλός,,,,,a-p---nas,a-p---nns,,,,,,,,,,,,,,,,,,,,
460,ἀρχαιοτάτοις,ἀρχαῖος,,,,,a-p---mds,,,,,,,,,,,,,,,,,,,,,
462,ὅπερ,ὅσπερ,,,,,p-s---nn-,,,,,,,,,,,,,,,,,,,,,
464,καλῶς,καλός,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
477,οἵ,ὁ,,ὅς,,,l-p---mn-,,,,,,,ἕ,,,,,,,,,,,,,,
487,ἀδίκως,ἄδικος,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
492,μέγιστα,μέγας,,,,,a-p---nns,a-p---nas,,,,,,,,,,,,,,,,,,,,
496,ὅτι,,,ὅτι,,,c--------,,,,,,ὅστις,,,,,,,,,,,,,,,
497,σοι,,,σύ,,,p2s---md-,,,,,,,,,,,,,,,,,,,,,
500,διομοσάμενος,διόμνυμι,,,,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,,
503,ἀναμφισβητήτως,ἀναμφισβήτητος,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
510,τοῖσδε,ὅδε,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,,
515,μη,μη,μή,,,,d--------,,,,,,,,,,,,,,,,,,,,,
516,-δὲ,δέ,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,
517,πλέον,,,,πολύς,,a-s---nac,a-s---nac,a-s---nnc,,,,,,,,,,,,,,,,,,,
519,ἐξεῖναί,,,ἔξειμι,,,v--pna---,,,,,,,,,,,,,,,,,,,,,
524,ὠφληκότα,,,ὀφλισκάνω,,,v-srpama-,,,,,,,,,,,,,,,,,,,,,
525,πῶς,,,πῶς,,,d--------,,,,,,,,,,,,,,,,,,,,,
538,ἐδέθην,,,δέω,,,v1saip---,,,,,,,,,,,,,,,,,,,,,
548,ξένων,,,ξένος,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,
553,ἐδέθη,,,δέω,,,v3saip---,,,,,,,,,,,,,,,,,,,,,
565,ἀπαρασκευότατον,ἀπαράσκευος,,,,,a-s---mas,,,,,,,,,,,,,,,,,,,,,
567,διαπράσσεσθαι,διαπράσσω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
568,ἀμαυτοῦ,ἐμαυτοῦ,,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,,
582,οὑτωσὶ,οὑτωσί,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
589,πειράσομαι,πειράω,,,,,v1sfim---,,,,,,,,,,,,,,,,,,,,,
599,προσεδόκησεν,προσδοκέω,,προσδοκάω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
602,πλοῦν,πλόος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,
611,ἀποθανεῖν,,,ἀποθνῄσκω,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
619,Θρᾳξὶν,Θρᾷξ,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,,
622,συνέπλει,συμπλέω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
624,Θρᾷκες,,,,,,n-p---mn-,,,,,Θρᾷξ,,,,,,,,,,,,,,,,
630,πλοῦ,πλόος,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,
634,χρησάμενοι,,,,,,v-papmmn-,,,,,χράω,,,,,,,,,,,,,,,,
635,ὑφ᾽,ὑπό,,,,,r--------,,,,,,,,,,,,,,,,,,,,,
637,κατασχεῖν,κατέχω,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,,
641,ὥρμει,,,ὁρμέω,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
642,μετεκβάντα,μετεκβαίνω,,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,,
646,σκοπεῖτε,σκοπέω,,,,,v2ppma---,,,,,,,,,,,,,,,,,,,,,
649,-τε,τε,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,
662,κατασχόντες,κατέχω,,,,,v-papamn-,,,,,,,,,,,,,,,,,,,,,
667,ἐπειδὴ,,,,,,c--------,,,,,ἐπειδή,,,,,,,,,,,,,,,,
677,ἐστεγασμένον,στεγάζω,,,,,v-srpenn-,,,,,,,,,,,,,,,,,,,,,
679,μετεξέβημεν,μετεκβαίνω,,,,,v1paia---,,,,,,,,,,,,,,,,,,,,,
680,ἐπίνομεν,πίνω,,,,,v1piia---,,,,,,,,,,,,,,,,,,,,,
690,ὑστεραίᾳ,ὑστεραῖος,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,,
699,ὁμοίως,ὅμοιος,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
711,ἕτοιμος,ἑτοῖμος,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
722,πλοῦς,πλόος,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,
724,τἆλλ᾽,ἄλλος,,τὰ ἄλλα,,,a-s---nn-,p-p---nn-,,,,,,,,,,,,,,,,,,,,
730,εἰκότα,ἔοικα,,,,,v-prpana-,v-prpann-,,,,,,,,,,,,,,,,,,,,
732,ἀνάγεσθαί,ἀνάγω,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,
737,ἄν,,,ἄν,,,d--------,,,,,ἐάν,,,,,,,,,,,,,,,,
738,ποτε,ποτέ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
749,λέγουσι,,,λέγω,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,
750,ἀπέθανεν,,,ἀποθνῄσκω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
754,ἀκριβῶς,ἀκριβής,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
759,εἰκότι,ἔοικα,,,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
777,ὁδὸν,,,ὁδός,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,
790,κᾆτ᾽,εἶτα,,καί,,,d--------,,,,,,,,,,,,,,,,,,,,,
799,πόρρω,πρόσω,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
803,λέγουσιν,,,λέγω,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,
804,τίνι,τις,,,,,a-s---nd-,,,,,,,,,,,,,,,,,,,,,
807,εἰκός,ἔοικα,,,,,v-srpann-,v-srpana-,,,,,,,,,,,,,,,,,,,,
809,τεθνεῶτος,,,θνῄσκω,,,v-srpamg-,,,,,,,,,,,,,,,,,,,,,
823,τεθνάναι,,,θνῄσκω,,,v--rna---,,,,,,,,,,,,,,,,,,,,,
824,ἐνεχώρει,ἐγχωρέω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,,
835,ὕστερον,ὕστερος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,
843,τοσούτῳ,τοσοῦτος,,,,,a-s---md-,p-s---nd-,,,,,,,,,,,,,,,,,,,,
