,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
16,ἄν,,ἐάν,ἄν,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
28,ὅπερ,ὅσπερ,,,,,p-s---na-,p-s---nn-,,,,,,,,,,,,,,,,,,,
29,μέγιστον,μέγας,,,,,a-s---nas,a-s---nns,,,,,,,,,,,,,,,,,,,
37,συνειδέναι,σύνοιδα,,,,,v--rna---,,,,,,,,,,,,,,,,,,,,
49,μᾶλλον,,,μάλα,,,d-------c,,,,,,,,,,,,,,,,,,,,
50,ἢ,,,ἤ,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
56,οἳ,ὁ,ὅς,,,,l-p---mn-,p-p---mn-,,,,,,,,,,,,,,,,,,,
61,ἂν,,ἐάν,ἄν,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
65,κεῖσθαι,,,κεῖμαι,,,v--pne---,,,,,,,,,,,,,,,,,,,,
70,ἀρχαιοτάτοις,ἀρχαῖος,,,,,a-p---mds,,,,,,,,,,,,,,,,,,,,
102,ὀρθῶς,ὀρθός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
105,οὔ,οὐ,,,,,d--------,,,,,,,,,,,,,,,,,,,,
130,ἔστι,εἰμί,,,,,v3spia---,,,,,,,,,,,,,,,,,,,,
146,ὄντα,εἰμί,,,,,v-sppama-,v-pppann-,v-pppana-,,,,,,,,,,,,,,,,,,
148,μη,μη,,,,,d--------,,,,,,,,,,,,,,,,,,,,
149,-δ᾽,δέ,,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
152,χρήσασθαι,,,χράω,,,v--anm---,,,,,,,,,,,,,,,,,,,,
155,εἴργεσθαι,,,,,,v--pne---,,,,ἔργω,,,,,,,,,,,,,,,,
157,ἱερῶν,ἱερόν,,ἱερός,,,n-p---ng-,,,,,,,,,,,,,,,,,,,,
160,ἅπερ,,ὅσπερ,,,,p-p---nn-,p-p---na-,,,,,,,,,,,,,,,,,,,
161,μέγιστα,μέγας,,,,,a-p---nns,,,,,,,,,,,,,,,,,,,,
162,παλαιότατα,παλαιός,,,,,a-p---nns,,,,,,,,,,,,,,,,,,,,
170,τινὰ,τις,,,,,p-s---ma-,a-s---fa-,,,,,,,,,,,,,,,,,,,
178,θεῖον,,,θεῖος,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,
189,πλείω,,,πολύς,,,a-p---nnc,a-p---nac,,,,,,,,,,,,,,,,,,,
201,αὑτὸν,ἑαυτοῦ,,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
205,-τε,τε,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
211,ὅτι,,,ὅτι,,,c--------,,,,,ὅστις,,,,,,,,,,,,,,,
215,-τ᾽,τε,,,,,c--------,d--------,,,,,,,,,,,,,,,,,,,
