,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,gpt_lemma_5,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
1,δὲ,δέ,,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
2,προαιρούμεθα,προαιρέω,,,,,,,,v1ppie---,,,,,,,,,,,,,,,,,,,,,,
8,τίς,τις,,,,,,,,p-s---fn-,a-s---fn-,a-s---mn-,p-s---mn-,,,,,,,,,,,,,,,,,,,
9,κρατίστη, ἀγαθός,,,,,,,,a-s---fns,,,,,,,,,,,,,,,,,,,,,,
14,ὅτι,,,ὅστις,ὅτι,,,,,c--------,d--------,p-s---nn-,,,,,,,,,,,,,,,,,,,,
31,λεγομένων,,,,λέγω,,,,,v-pppefg-,,,,,,,,,,,,,,,,,,,,,,
33,ἂν,,ἐάν,,ἄν,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
34,εἴ,εἰ,,,,,,,,c--------,,,,,,,,,,,,,,,,,,,,,,
39,εἰρημέναι,λέγω,,,,,,,,v-prpefn-,,,,,,,,,,,,,,,,,,,,,,
41,καλῶς,καλός,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
46,ὀρθῶς,ὀρθός,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
53,τι,τις,,,,,,,,p-s---na-,a-s---na-,a-s---nn-,p-s---nn-,,,,,,,,,,,,,,,,,,,
79,ἥπερ,ὅσπερ,,,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
80,πέφυκεν,φύω,,,,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,,
92,ἢ,,,,ἤ,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
119,βέλτιον,,,,,,,,,a-s---nnc,a-s---nac,,,,,,ἀγαθός,,,,,,,,,,,,,,,
124,οὒ,οὐ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
132,Πολιτείᾳ,πολιτεία,,,,,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,,,
137,δεῖν,,δέω,,,,,,,v--pna---,v-spp-nn-,,,,,,,,,,,,,,,,,,,,,
144,οὕτω,οὕτως,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
170,εἴρηται,,,,,λέγω,,,,v3srie---,,,,,,,,,,,,,,,,,,,,,,
171,πῶς,,,,πῶς,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
174,διώρισται,,,,διορίζω,,,,,v3srie---,,,,,,,,,,,,,,,,,,,,,,
175,λέγω,,,,λέγω,,,,,v1spia---,,,,,,,,,,,,,,,,,,,,,,
184,προϊοῦσα,πρόειμι,,,,,,,,v-sppafn-,,,,,,,,,,,,,,,,,,,,,,
188,-δὲ,δέ,,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
201,ἄν,,ἐάν,,ἄν,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
202,ἕνα,εἷς,,,,,,,,a-s---ma-,a-p---na-,,,,,,,,,,,,,,,,,,,,,
207,εἴη,,εἰμί,,,,,,,v3siia---,v3spoa---,,,,,,,,,,,,,,,,,,,,,
210,μόνον,μόνος,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
225,πλεῖον,,,,,πολύς,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,,,
226,ἑλκύσειε,ἕλκω,,,,,,,,v3saoa---,,,,,,,,,,,,,,,,,,,,,,
231,διοίσει,διαφέρω,,,,,,,,v3sfia---,,,,,,,,,,,,,,,,,,,,,,
244,ἀντιπεπονθὸς,ἀντιπάσχω,,,,,,,,v-srpann-,,,,,,,,,,,,,,,,,,,,,,
245,σῴζει,,,,σῴζω,,,,,v3spia---,,,,,,,,,,,,,,,,,,,,,,
274,πολιτικήν,πολιτικός,,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,,
288,τοῦτό,οὗτος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
291,εἴκειν,ἔοικα,,,εἴκω,,,,,v--rna---,,,,,,,,,,,,,,,,,,,,,,
296,ἄρχονται,ἄρχω,,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
301,ἀρχόντων,ἄρχω,,,ἄρχων,,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,,,
307,οὔ,οὐ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
308,πέφυκε,φύω,,,,,,,,v2srma---,v3sria---,,,,,,,,,,,,,,,,,,,,,
309,λέγουσί,,,,λέγω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
310,λεχθὲν,,,,λέγω,,,,,v-sappnn-,,,,,,,,,,,,,,,,,,,,,,
311,μέγιστον,μέγας,,,,,,,,a-s---nns,a-s---nas,a-s---nns,,,,,,,,,,,,,,,,,,,,
324,ἄμεινον,,,,,,,,,a-s---nnc,,,,,,ἀγαθός,,,,,,,,,,,,,,,,
335,ἧττον,κακός,,,,,,,,a-s---nnc,a-s---nac,,,,,,,,,,,,,,,,,,,,,
336,μὴν,μήν,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
337,-δ᾽,δέ,,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,,,
338,ἄριστόν,ἀγαθός,,,,,,,,n-s---nns,,,,,,,,,,,,,,,,,,,,,,
340,ἀποδείκνυσθαι,ἀποδείκνυμι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
344,λέγωσι,,,,λέγω,,,,,v3ppsa---,,,,,,,,,,,,,,,,,,,,,,
349,τελέως,τέλειος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
350,διττόν,δισσός,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
371,ὁμοίως,ὅμοιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
374,λέγειν,,,,λέγω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
376,περιττὰ,περισσός,,,,,,,,a-p---nn-,,,,,,,,,,,,,,,,,,,,,,
378,διττὸν,δισσός,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
384,ὡδὶ,ὡδί,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
391,λεγόμενον,,,,λέγω,,,,,v-sppenn-,,,,,,,,,,,,,,,,,,,,,,
392,ἥκιστα,κακός,,,,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,,
412,χεῖρον,,,,κακός,,,,,a-s---nac,a-s---nnc,,,,,,,,,,,,,,,,,,,,,
425,λέγει,,,,λέγω,,,,,v3spia---,,,,,,,_,,,,,,,,,,,,,,,
427,πράττοντα,πράσσω,,,,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,,,
428,κακῶς,κακός,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
433,λέγων,,,,λέγω,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,,
435,χιλίων,,,,χίλιοι,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,,,
440,συνέβη,συμβαίνω,,,,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,,
442,σωθῆναι,,,,σῴζω,,,,,v--anp---,,,,,,,,,,,,,,,,,,,,,,
444,κρεῖττον,ἀγαθός,,,,,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,,,
447,μυρίων,μυρίος,,,,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,,,
449,λέγουσιν,,,,λέγω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
450,αὑτοῦ,ἑαυτοῦ,,,,,,,,p-s---mg-,,,,,,,,,,,,,,,,,,,,,,
461,φράτορα,φράτηρ,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
467,τινας,τις,,,,,,,,p-p---ma-,a-p---ma-,,,,,,,,,,,,,,,,,,,,,
481,ὅπερ,ὅσπερ,,,,,,,,p-s---na-,p-s---nn-,,,,,,,,,,,,,,,,,,,,,
485,γῆς,γῆ,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
488,τισι,τις,,,,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,,,
489,ἄνω,,,,ἄνω,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
507,γονεῦσιν,,,,γονεύς,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,,
510,Δικαία,δίκαιος,,,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
518,ἀκουσίους,ἀεκούσιος,,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,,
523,ὅσιόν,ὅσιος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
525,πόρρω,πρόσω,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
530,ἃ,ὅς,,,,,,,,p-p---na-,,p-p---nn-,,,,,,,,,,,,,,,,,,,,
542,συνεῖναι,σύνειμι,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
544,ἐρώντων,,,,ἐράω,,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,,,
545,ἐρᾶν,,,,ἐράω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
547,μη,μη,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
548,χρήσεις,χρῆσις,,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,,
555,μηδεμίαν,μηδείς,,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,,,
559,πατὴρ,πατήρ,,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
563,ἐρῶσι,,,,ἐράω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
571,ἀρχομένους,ἄρχω,,,,,,,,v-pppema-,,,,,,,,,,,,,,,,,,,,,,
574,ὅλως,ὅλος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
575,τ-,ὁ,,,,,,,,l-s---na-,l-p---nn-,,,,,,τε,,,,,,,,,,,,,,,
576,οὐναντίον,ἐναντίος,,,,,,,,a-s---na-,a-s---nn-,,,,,,,,,,,,,,,,,,,,,
594,καθάπερ,,,,καθάπερ,,,,,c--------,,,,,,,,,,,,,,,,,,,,,,
597,λέγοντα,,,,λέγω,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,,,
626,κήδεσθαι,κήδω,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
630,πολιτευομένοις,πολιτεύω,,,,,,,,v-pppemd-,,,,,,,,,,,,,,,,,,,,,,
638,τίνα,τις,,,,,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,,,
639,γινώσκειν,γιγνώσκω,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
642,τίσι,τις,,,,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,,,
643,τίνας,τις,,,,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,,,
646,λεχθέντα,,,,λέγω,,,,,v-pappna-,,,,,,,,,,,,,,,,,,,,,,
651,οἵ,ὁ,,,ὅς,,,,,l-p---mn-,,,,,,,,ἕ,,,,,,,,,,,,,,
658,πράττειν,πράσσω,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
659,διωρίσθω,,,,διορίζω,,,,,v3srme---,,,,,,,,,,,,,,,,,,,,,,
660,ἐχόμενον,ἔχω,,,,,,,,v-sppenn-,,,,,,,,,,,,,,,,,,,,,,
664,πολιτεύεσθαι,πολιτεύω,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
678,καρποὺς,,,,καρπός,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
682,ἔνια,ἔνιοι,,,,,,,,a-p---nn-,a-p---na-,,,,,,,,,,,,,,,,,,,,,
684,γῆν,,γῆ,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
