,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
3,ἧττον,κακός,,,,a-s---nac,,,,,,,,,,,,,,,,,,,
14,σωφρόνως,σώφρων,,,,d--------,,,,,,,,,,,,,,,,,,,
15,ἐρᾶν,,,ἐράω,,v--pna---,,,,,,,,,,,,,,,,,,,
22,λέγει,,,λέγω,,v3spia---,,,λέγω,,,,,,,,,,,,,,,,
23,που,πού,,,,d--------,,,,,,,,,,,,,,,,,,,
29,τ᾽,τε,,,,c--------,,,,,,,,,,,,,,,,,,,
39,τῷ,ὁ,τις,,,l-s---md-,l-s---nd-,p-s---md-,,,,,,,,,,,,,,,,,
40,Φοίνικι,Φοῖνιξ,,,,n-s---md-,,,,,,,,,,,,,,,,,,,
57,μη,μή,μηδέ,,,d--------,,,,,,,,,,,,,,,,,,,
58,-δ᾽,δέ,,,,c--------,,,,,,,,,,,,,,,,,,,
69,ᾑρέθην,αἱρέω,,,,v1saip---,,,,,,,,,,,,,,,,,,,
73,ἁμιλληθέντα,ἁμιλλάομαι,,,,v-papena-,,,,,,,,,,,,,,,,,,,
76,τ-,τε,ὁ,,,c--------,l-s---na-,,,,,,,,,,,,,,,,,,
77,-ἀναντί᾽,ἐναντίος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,
81,πέρι,περί,,,,r--------,,,,,,,,,,,,,,,,,,,
82,κ-,καί,,,,d--------,c--------,,,,,,,,,,,,,,,,,,
83,ἀγὼ,ἐγὼ,,,,p1s---mn-,,,,,,,,,,,,,,,,,,,
85,οὕτω,οὕτως,,,,d--------,,,,,,,,,,,,,,,,,,,
86,χ-,καί,,,,d--------,,,,,,,,,,,,,,,,,,,
87,ὤστις,ὅστις,,,,p-s---mn-,,,,,,,,,,,,,,,,,,,
88,ἔστ᾽,ἔστε,,,,c--------,,,,,,,,,,,,,,,,,,,
92,ἀληθές,ἀληθής,,,,a-s---na-,,,,,,,,,,,,,,,,,,,
95,σκοπῶν,,,σκοπέω,,v-sppamn-,,,σκοπός,,,,,,,,,,,,,,,,
109,ὅτι,,,ὅτι,,c--------,d--------,,,ὅστις,,,,,,,,,,,,,,,
113,ξυνών,σύνειμι,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,
136,πῶς,,,πῶς,,d--------,,,,,,,,,,,,,,,,,,,
141,κρινόμενος,κρίνω,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,
149,παραπλησίως,παραπλήσιος,,,,d--------,,,,,,,,,,,,,,,,,,,
154,τίσι,τις,,,,p-p---md-,,,,,,,,,,,,,,,,,,,
169,χρήσασθαι,,,,,v--anm---,,,χράω,,,,,,,,,,,,,,,,
174,κατεδήδοκε,κατεσθίω,,,,v3sria---,,,,,,,,,,,,,,,,,,,
175,πατρῷα,πατρῷος,,,,a-p---na-,,,,,,,,,,,,,,,,,,,
179,δημοσίᾳ,,,δημόσιος,,d--------,,,,,,,,,,,,,,,,,,,
185,ἢ,,,ἤ,,c--------,d--------,,,,,,,,,,,,,,,,,,
187,περιεῖναι,,,,,v--pna---,,,περίειμι,,,,,,,,,,,,,,,,
188,συνών,,,,,v-sppamn-,,,σύνειμι,,,,,,,,,,,,,,,,
191,τίνων,τις,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,
201,τί,τις,,,,p-s---na-,a-s---nn-,a-s---na-,,,,,,,,,,,,,,,,,
202,λέγω,,,λέγω,,v1spia---,,,,,,,,,,,,,,,,,,,
204,τίνα,τις,,,,p-p---nn-,a-s---fa-,p-s---ma-,,,,,,,,,,,,,,,,,
205,ποτ᾽,ποτέ,,,,d--------,,,,,,,,,,,,,,,,,,,
209,πατρῴαν,πατρῷος,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,
210,κατεδηδοκότα,κατεσθίω,,,,v-srpama-,,,,,,,,,,,,,,,,,,,
211,ὀμωμόκατε,ὄμνυμι,,,,v2pria---,,,,,,,,,,,,,,,,,,,
213,ψηφιεῖσθαι,ψηφίζω,,,,v--fnm---,,,,,,,,,,,,,,,,,,,
214,ἂν,,ἐάν,ἄν,,d--------,c--------,,,,,,,,,,,,,,,,,,
