,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
12,περιδεὴς,περιδεής,,,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
23,αὑτὸν,ἑαυτοῦ,,,,,,,p-s---ma-,,,,,,,,,,,,,,,,,,,,
36,οἱ,ὁ,ἕ,,,,,,l-p---mn-,p3s---md-,,,,,,,,,,,,,,,,,,,
38,τῶν,ὁ,ὅς,,,,,,l-p---mg-,l-p---ng-,l-p---fg-,p-p---ng-,,,,,,,,,,,,,,,,,
43,μετὰ,μετά,,,,,,,r--------,d--------,,,,,,,,,,,,,,,,,,,
56,ἀναμιχθῆναι,ἀναμίγνυμι,,,,,,,v--anp---,,,,,,,,,,,,,,,,,,,,
60,ψηφιζόμενοι,,,,ψηφίζω,,,,v-pppemn-,,,,,,,,,,,,,,,,,,,,
83,τῷδε,ὅδε,,,,,,,p-s---nd-,a-s---nd-,a-s---md-,,,,,,,,,,,,,,,,,,
91,Κίνναν,,Κίννας,,,,,,n-s---fa-,n-s---ma-,,,,,,,,,,,,,,,,,,,
100,ἀναμιγῆναι,,,,ἀναμίγνυμι,,,,v--anp---,,,,,,,,,,,,,,,,,,,,
105,οἵδε,ὅδε,,,,,,,p-p---mn-,,,,,,,,,,,,,,,,,,,,
111,περιορωμένῳ,περιοράω,,,,,,,v-sppemd-,,,,,,,,,,,,,,,,,,,,
124,ὁδὸν,,,,ὁδός,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
129,πυθόμενος,,,,πυνθάνομαι,,,,v-spppmn-,,,,,,,,,,,,,,,,,,,,
132,Ἱερᾶς,Ἱερή,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
133,ὁδοῦ,,,,ὁδός,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
139,ἐμπεσὼν,,,,ἐμπίπτω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
143,διέστησεν,διίστημι,,,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
148,Διοσκούρων,Διόσκοροι,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
149,ἱερὸν,ἱερόν,,,ἱερός,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
153,συνῆσαν,σύνειμι,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
155,ἐπαγγέλματος,ἐπάγγελμα,,,,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,
156,ἐμπεσόντες,,,,ἐμπίπτω,,,,v-papamn-,,,,,,,,,,,,,,,,,,,,
157,ἔκτεινάν,,,,κτείνω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
165,βιάσεσθαι,βιάω,,,βιάζω,,,,v--fnm---,,,,,,,,,,,,,,,,,,,,
171,ὀλιγωτέρων,ὀλίγος,,,,,,,a-p---mgc,,,,,,,,,,,,,,,,,,,,
180,προσιόντος,πρόσειμι,,,,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
181,ἐξέδραμεν,,,,ἐκτρέχω,,,,v1paia---,,,,,,,,,,,,,,,,,,,,
184,πρὸ,πρό,,,,,,,r--------,,,,,,,,,,,,,,,,,,,,
186,πολίτιδας,πολῖτις,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
189,Τίβυρτόν,Τίβουρα,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
207,οἳ,ὅς,ὁ,,,,,,p-p---mn-,l-p---mn-,,,,,,,,,,,,,,,,,,,
210,Γάιός,,,,Γάιος,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
212,Κόιντος,,,,Κόιντος,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
214,Γάιος,,Γάιος,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
220,καταλιπόντα,,,,καταλείπω,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,
225,ἐψηφίσατο,,,,ψηφίζω,,,,v3saie---,,,,,,,,,,,,,,,,,,,,
227,-τε,τε,,,,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
230,Μερόλαν,Μερούλας,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
232,ἀντʼ,,,,ἀντί,,,,r--------,,,,,,,,,,,,,,,,,,,,
236,λέγεται,,,,λέγω,,,,v3spie---,,,,,,,,,,,,,,,,,,,,
238,ἱερεὺς,ἱερεύς,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
253,ἄρχοντας,ἄρχω,,,ἄρχων,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,
276,τάδε,ὅδε,,,,,,,p-p---na-,a-p---na-,,,,,,,,,,,,,,,,,,,
283,τί,τις,,,,,,,p-s---na-,,,,,,,,,,,,,,,,,,,,
287,ποῦ,,,,ποῦ,,,,d--------,,,,,,,,,,,,,,,,,,,,
290,ἢ,,,,ἤ,,,,d--------,c--------,,,,,,,,,,,,,,,,,,,
311,κατέρρηξε,καταρρήγνυμι,,,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
313,καταθορὼν,καταθρῴσκω,,,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
325,θαρρεῖν,θαρσέω,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,
