;form;lemmi;postag;conteggio_lemmi;conteggio_postag
0;ὅσοις;['ὅσος'];['p-p---md-', 'p-p---nd-'];1;2
1;τῶν;['ὁ', 'ὅς'];['l-p---fg-', 'l-p---mg-', 'l-p---ng-', 'p-p---mg-', 'p-p---ng-'];2;5
2;ἀνθρώπων;['ἄνθρωπος'];['n-p---mg-'];1;1
3;ἐκ;['ἐκ'];['r--------'];1;1
4;τῆς;['ὁ'];['l-s---fg-'];1;1
5;αὑτῶν;['ἑαυτοῦ'];['p-p---fg-', 'p-p---mg-', 'p-p---ng-'];1;3
6;ὁρμωμένοις;['ὁρμάω'];['v-pppemd-'];1;1
7;χώρας;['χώρα'];['n-p---fa-', 'n-s---fg-'];1;2
8;ὑπερόριοί;['ὑπερόριος'];['a-p---mn-'];1;1
9;τε;['τέ', 'τε'];['b--------', 'c--------', 'd--------'];2;3
10;ἀγῶνες;['ἀγών'];['n-p---mn-'];1;1
11;καὶ;['εἰμί', 'καί', 'καὶ', 'ὁ'];['b--------', 'c--------', 'd--------', 'd---------', 'd-------_', 'l-p---na-', 'v--pna---'];4;7
12;κίνδυνοι;['κίνδυνος'];['n-p---mn-'];1;1
13;συμβαίνουσιν;['συμβαίνω'];['v3ppia---'];1;1
14;,;[',', '.', 'nan', 'Ζεύς', 'δέω', 'μειράκιον', 'μᾶλλον', 'νομίζω', 'παρίημι', 'παρασκευάζω', 'ποιέω', 'πολύς', 'σύ', 'τις', 'φαίνω', 'φροντίζω', 'ἀνεπίσκεπτος', 'ἐλαττόω'];['a-p---ngc', 'a-s---ma-', 'd--------', 'n-s---ma-', 'n-s---nv-', 'nan', 'p-s---cd-', 'p2s---ca-', 'u--------', 'v--pna---', 'v--pne---', 'v-papamn-', 'v-pppama-', 'v3saoa---', 'v3sfim---', 'v3spoa---'];18;16
15;ἄν;['ἄν', 'ἄν1', 'ἐάν'];['c-------', 'c--------', 'd--------'];3;3
16;τι;['τις'];['a-s---na-', 'a-s---nn-', 'a-s---nn_', 'p-s---na-', 'p-s---nn-'];1;5
17;σφάλμα;['σφάλμα'];['n-s---nn-'];1;1
18;γένηται;['γίγνομαι'];['v3sasm---'];1;1
19;κατὰ;['κατά'];['r--------'];1;1
20;γῆν;['γῆ'];['n-s---fa-'];1;1
21;ἢ;[',', 'ἤ', 'ἤ1'];['b--------', 'c--------', 'd--------', 'i--------', 'u--------'];3;5
22;θάλασσαν;['θάλασσα'];['n-s---fa-'];1;1
23;ὑπολείπεται;['ὑπολείπω'];['v3spie---'];1;1
24;τοῖς;['ὁ'];['l-p---md-', 'l-p---mg-', 'l-p---nd-'];1;3
25;περιγιγνομένοις;['περιγίγνομαι'];['v-pppemd-'];1;1
26;αὐτῶν;"['""""', 'αὐτός']";"['""""', 'a-p---mg-', 'p-p---fg-', 'p-p---mg-', 'p-p---ng-']";2;5
27;οἰκεία;['οἰκεῖος'];['a-s---fn-'];1;1
28;χώρα;['χώρα'];['n-s---fn-'];1;1
29;πόλις;['πόλις'];['n-s---fn-'];1;1
30;πατρίς;['πατρίς'];['n-s---fn-'];1;1
31;ὥστε;['ὥστε'];['c--------', 'd--------'];1;2
32;οὐκ;['οὐ'];['d--------'];1;1
33;ἂν;['ἄν', 'ἄν1', 'ἄν2', 'ἐάν', 'ἐάν'];['c--------', 'd--------'];5;2
34;ἄρδην;['ἄρδην'];['d--------'];1;1
35;πάντες;['πᾶς'];['a-p---ma-', 'a-p---mn-'];1;2
36;ἀναιρεθείησαν;['ἀναιρέω'];['v3paop---'];1;1
37;·;['·', '·'];['u--------'];2;1
38;δὲ;['nan', 'δέ'];['b--------', 'd--------', 'd---------', 'nan'];2;4
39;ὑπὲρ;['ὑπέρ'];['r--------'];1;1
40;μεγίστων;['μέγας'];['a-p---fg-', 'a-p---fgs', 'a-p---mgs', 'a-p---ngs'];1;4
41;μέλλουσι;['μέλλω'];['v-pppamd-'];1;1
42;κινδυνεύειν;['κινδυνεύω'];['v--pna---'];1;1
43;ἱερῶν;['ἱερός'];['a-p---mg-', 'a-p---ng-'];1;2
44;πατρίδος;['πατρίς'];['n-s---fg-'];1;1
45;γονέων;['γονεύς'];['n-p---mg-'];1;1
46;τέκνων;['τέκνον'];['n-p---ng-'];1;1
47;ἄλλων;['ἄλλος'];['a-p---ng_', 'a-p---ngp', 'p-p---fg-', 'p-p---fgp', 'p-p---mg-', 'p-p---mgp', 'p-p---ng-'];1;7
48;ἴσος;['ἴσος'];['a-s---mn-'];1;1
49;οὐδὲ;['οὐδέ'];['b--------', 'c--------', 'd--------'];1;3
50;ὅμοιος;['ὅμοιος'];['a-s---mn-'];1;1
51;ἀγών;['ἀγών'];['n-s---mn-'];1;1
52;ἐστιν;['_', 'εἰμί'];['---------', 'v3spia---'];2;2
53;ἀλλὰ;['ἀλλά'];['b--------', 'c--------', 'd--------'];1;3
54;σωθεῖσι;['σώζω'];['v-pappmd-'];1;1
55;μὲν;['μέν'];['d--------'];1;1
56;καλῶς;['καλός', 'καλός', 'καλῶς'];['d--------', 'd-------p'];3;2
57;ἀμυναμένοις;['ἀμύνω'];['v-papmmd-'];1;1
58;τοὺς;['ὁ'];['l-p---ma-'];1;1
59;πολεμίους;['πολέμιος'];['a-p---ma-', 'n-p---ma-'];1;2
60;φοβεροὺς;['φοβερός'];['a-p---ma-'];1;1
61;ἐναντίοις;['ἐναντίος'];['a-p---md-'];1;1
62;δυσεπιθέτους;['δυσεπίθετος'];['a-p---ma-'];1;1
63;εἰς;['εἰς'];['r--------'];1;1
64;τὸν;['nan', 'ὁ'];['---------', 'l-s---ma-'];2;2
65;λοιπὸν;['λοιπός'];['a-s---ma-', 'a-s---na-', 'a-s---nn-'];1;3
66;χρόνον;['χρόνος'];['n-s---ma-'];1;1
67;εἶναι;['εἰμί', 'εἰμί'];['v--pna---'];2;1
68;κακῶς;['κακός'];['d--------'];1;1
69;προσενεχθεῖσι;['προσφέρω'];['v-pappmd-'];1;1
70;πρὸς;['πρός'];['r--------'];1;1
71;κινδύνους;['κίνδυνος'];['n-p---ma-'];1;1
72;οὐδεμία;['οὐδείς'];['p-s---fn-'];1;1
