,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|27224|4|1,1,ὄμνυμι,ὄμνυμι,v1spia---,PRED
1,Leuven|27224|4|2,2,σοι,σύ,p2s---cd-,ADV
2,Leuven|27224|4|3,3,τόν,ὁ,l-s---ma-,ATR
3,Leuven|27224|4|4,4,μέγαν,μέγας,a-s---ma-,ATR
4,Leuven|27224|4|5,5,θεόν,θεός,n-s---ma-,OBJ
5,Leuven|27224|4|6,6,Σάραπιν,Σάραπις,n-s---ma-,APOS
6,Leuven|27224|4|7,7,ὅτι,ὅτι,c--------,AuxC
7,Leuven|27224|4|8,8,οὐκ,οὐ,d--------,AuxZ
8,Leuven|27224|4|9,9,οἶδα,οἶδα,v1sria---,OBJ
9,Leuven|27224|4|10,10,ποῦ,ποῦ,d--------,ADV
10,Leuven|27224|4|11,11,τό,ὁ,l-s---na-,ATR
11,Leuven|27224|4|12,12,ὀφφίκιον,ὀφφίκιον,n-s---na-,OBJ
12,Leuven|27224|4|13,13,ἔχεις,ἔχω,v2spia---,OBJ
14,Leuven|27224|4|15,15,ἵνα,ἵνα,c--------,AuxC
15,Leuven|27224|4|16,16,σοι,σύ,p2s---cd-,OBJ
16,Leuven|27224|4|17,17,ἐκεῖ,ἐκεῖ,d--------,ADV
17,Leuven|27224|4|18,18,ἔλθω,ἔρχομαι,v1sasa---,ADV_CO
18,Leuven|27224|4|19,19,καί,καί,c--------,COORD
19,Leuven|27224|4|20,20,ἀσπάσωμαι,ἀσπάζομαι,v1sasm---,ADV_CO
20,Leuven|27224|4|21,21,σοῦ,σύ,p2s---cg-,ATR
21,Leuven|27224|4|22,22,τήν,ὁ,l-s---fa-,ATR
23,Leuven|27224|4|24,24,ὄψιν,ὄψις,n-s---fa-,OBJ
