,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|27109|3|1,1,πλεῖον,πολύς,a-s---nac,ADV
1,Leuven|27109|3|2,2,ἢ,ἤ,c--------,AuxC
2,Leuven|27109|3|3,3,μᾶλλον,μάλα,d-------c,ADV
3,Leuven|27109|3|4,4,παρέχεις,παρέχω,v2spia---,PRED_CO
4,Leuven|27109|3|5,5,καὶ,καί,c--------,COORD
5,Leuven|27109|3|6,6,παρέσχες,παρέχω,v2saia---,PRED_CO
6,Leuven|27109|3|7,7,τῇ,ὁ,l-s---fd-,ATR
7,Leuven|27109|3|8,8,ἀδελφῇ,ἀδελφή,n-s---fd-,OBJ
9,Leuven|27109|3|10,10,ὅθεν,ὅθεν,d--------,ADV
10,Leuven|27109|3|11,11,ἀνθομολογοῦμαι,ἀνθομολογέομαι,v1spie---,ADV
11,Leuven|27109|3|12,12,πᾶσαν,πᾶς,a-s---fa-,ATR
12,Leuven|27109|3|13,13,χάριν,χάρις,n-s---fa-,OBJ
13,Leuven|27109|3|14,14,σοι,σύ,p2s---cd-,OBJ
14,Leuven|27109|3|15,15,παρὰ,παρά,r--------,AuxP
15,Leuven|27109|3|16,16,πᾶσιν,πᾶς,a-p---md-,ATR
16,Leuven|27109|3|17,17,θεοῖς,θεός,n-p---md-,ADV
18,Leuven|27109|3|19,19,ἐμαρτυρήθη,μαρτυρέω,v3saip---,ExD
19,Leuven|27109|3|20,20,γάρ,γάρ,d--------,AuxY
20,Leuven|27109|3|21,21,μοι,ἐγώ,p1s---cd-,OBJ
21,Leuven|27109|3|22,22,καὶ,καί,c--------,AuxY
22,Leuven|27109|3|23,23,ὑπὸ,ὑπό,r--------,AuxP
23,Leuven|27109|3|24,24,τῆς,ὁ,l-s---fg-,ATR
24,Leuven|27109|3|25,25,ἀδελφῆς,ἀδελφή,n-s---fg-,OBJ_CO
25,Leuven|27109|3|26,26,καὶ,καί,c--------,COORD
26,Leuven|27109|3|27,27,τῆς,ὁ,l-s---fg-,ATR
27,Leuven|27109|3|28,28,μητρός,μήτηρ,n-s---fg-,ADV_CO
