,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|25080|2|1,1,ἐκομισάμην,κομίζω,v1saim---,PRED_CO
1,Leuven|25080|2|2,2,τὴν,ὁ,l-s---fa-,ATR
2,Leuven|25080|2|3,3,κεχιασμένην,χιάζω,v-srpefa-,ATR
3,Leuven|25080|2|4,4,ἐπιστολὴν,ἐπιστολή,n-s---fa-,OBJ_CO
4,Leuven|25080|2|5,5,καὶ,καί,c--------,AuxY
5,Leuven|25080|2|6,6,τὴν,ὁ,l-s---fa-,ATR
6,Leuven|25080|2|7,7,ἱματιοφορίδα,ἱματιοφορίς,n-s---fa-,OBJ_CO
7,Leuven|25080|2|8,8,καὶ,καί,c--------,AuxY
8,Leuven|25080|2|9,9,τοὺς,ὁ,l-p---ma-,ATR
9,Leuven|25080|2|10,10,φαινόλας,φαινόλης,n-p---ma-,OBJ_CO
10,Leuven|25080|2|11,11,καὶ,καί,c--------,COORD
11,Leuven|25080|2|12,12,τὰς,ὁ,l-p---fa-,ATR
12,Leuven|25080|2|13,13,σύριγγας,σῦριγξ,n-p---fa-,OBJ_CO
13,Leuven|25080|2|14,14,οὐ,οὐ,d--------,AuxZ
14,Leuven|25080|2|15,15,καλάς,καλός,a-p---fa-,ATR
16,Leuven|25080|2|17,17,τοὺς,ὁ,l-p---ma-,ATR
17,Leuven|25080|2|18,18,δὲ,δέ,d--------,COORD
18,Leuven|25080|2|19,19,φαινόλας,φαινόλης,n-p---ma-,OBJ
19,Leuven|25080|2|20,20,οὐχ,οὐ,d--------,AuxZ
20,Leuven|25080|2|21,21,ὡς,ὡς,c--------,AuxC
21,Leuven|25080|2|22,22,παλαιοὺς,παλαιός,a-p---ma-,OBJ
22,Leuven|25080|2|23,23,ἔλαβον,λαμβάνω,v1saia---,PRED_CO
23,Leuven|25080|2|24,24,ἀλλʼ,ἀλλά,c--------,COORD
24,Leuven|25080|2|25,25,εἴ,εἰ,c--------,AuxC
25,Leuven|25080|2|26,26,τι,τις,p-s---nn-,SBJ
26,Leuven|25080|2|27,27,μεῖζόν,μέγας,a-s---nac,PNOM
27,Leuven|25080|2|28,28,ἐστιν,εἰμί,v3spia---,ADV_CO
28,Leuven|25080|2|29,29,καινῶν,καινός,a-p---mg-,OBJ
29,Leuven|25080|2|30,30,διὰ,διά,r--------,AuxP
30,Leuven|25080|2|31,31,προαίρεσιν,προαίρεσις,n-s---fa-,ADV
