,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|83|1|1,1,Πετεσοῦχος,Πετεσοῦχος,n-s---mn-,SBJ
1,Leuven|83|1|2,2,Πανεβχούνιος,Πανεβχοῦνις,n-s---mg-,ATR
2,Leuven|83|1|3,3,Πετεαρσεμθεῖ,Πετεαρσεμθεύς,n-s---md-,OBJ_CO
3,Leuven|83|1|4,4,καί,καί,c--------,AuxY
4,Leuven|83|1|5,5,Παγάνει,Παγάνης,n-s---md-,OBJ_CO
5,Leuven|83|1|6,6,Πανεβχούνιος,Πανεβχουνις,n-s---mg-,ATR
6,Leuven|83|1|7,7,Καρούρει,Καροῦρις,n-s---md-,OBJ_CO
7,Leuven|83|1|8,8,Πανεβχούνιος,Πανεβχουνις,n-s---mg-,ATR
8,Leuven|83|1|9,9,καί,καί,c--------,AuxY
9,Leuven|83|1|10,10,Ὥρῳ,Ὧρος,n-s---md-,OBJ_CO
10,Leuven|83|1|11,11,καί,καί,c--------,AuxY
11,Leuven|83|1|12,12,Πετεαρσεμθεῖ,Πετεαρσεμθεύς,n-s---md-,OBJ_CO
12,Leuven|83|1|13,13,Ἐργενούφιος,Ἐργενοῦφις,n-s---mg-,ATR
13,Leuven|83|1|14,14,καί,καί,c--------,AuxY
14,Leuven|83|1|15,15,Πανεβχούνει,Πανεβχουνις,n-s---md-,OBJ_CO
15,Leuven|83|1|16,16,Νεχούτου,Νεχουτης,n-s---mg-,ATR
16,Leuven|83|1|17,17,καί,καί,c--------,AuxY
17,Leuven|83|1|18,18,τῷ,ὁ,l-s---md-,ATR
18,Leuven|83|1|19,19,υἱῷ,υἱός,n-s---md-,OBJ_CO
19,Leuven|83|1|20,20,Πεκύσει,Πεκυσις,n-s---md-,APOS
20,Leuven|83|1|21,21,καί,καί,c--------,AuxY
21,Leuven|83|1|22,22,Ὥρῳ,Ὧρος,n-s---md-,OBJ_CO
22,Leuven|83|1|23,23,Πόρτιτος,Πορτις,n-s---mg-,ATR
23,Leuven|83|1|24,24,καί,καί,c--------,AuxY
25,Leuven|83|1|26,26,Πακοίβκει,Πακοιβκις,n-s---md-,OBJ_CO
26,Leuven|83|1|27,27,Παττος,Πατης,n-s---mg-,ATR
27,Leuven|83|1|28,28,καί,καί,c--------,COORD
28,Leuven|83|1|29,29,τοῖς,ὁ,l-p---nd-,ATR
29,Leuven|83|1|30,30,παιδίοις,παιδίον,n-p---nd-,OBJ_CO
30,Leuven|83|1|31,31,χαίρειν,χαίρω,v--pna---,OBJ_CO
31,Leuven|83|1|32,32,καί,καί,c--------,COORD
32,Leuven|83|1|33,33,ἐρρῶσθαι,ῥώννυμι,v--rne---,OBJ_CO
