,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|27172|3|1,1,καί,καί,c--------,AuxY
1,Leuven|27172|3|2,2,ἄλλοτε,ἄλλοτε,d--------,ADV
2,Leuven|27172|3|3,3,ἔμελλον,μέλλω,v1siia---,PRED_CO
3,Leuven|27172|3|4,4,σοι,σύ,p2s---cd-,OBJ
4,Leuven|27172|3|5,5,γράψαι,γράφω,v--ana---,OBJ
5,Leuven|27172|3|6,6,καί,καί,c--------,COORD
6,Leuven|27172|3|7,7,οὐκ,οὐ,d--------,AuxZ
7,Leuven|27172|3|8,8,ἀφῆκε,ἀφίημι,v3saia---,PRED_CO
8,Leuven|27172|3|9,9,με,ἐγώ,p1s---ca-,OBJ
9,Leuven|27172|3|10,10,Ἀπασιότες,Ἀπασιότες,n-s---mn-,SBJ
