,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|32546|6|1,1,χάρις,χάρις,n-s---fn-,SBJ
1,Leuven|32546|6|2,2,γὰρ,γάρ,d--------,AuxY
2,Leuven|32546|6|3,3,αὐτῷ,αὐτός,p-s---md-,PNOM
3,Leuven|32546|6|4,4,πλείστη,πολύς,a-s---fns,ATR
4,Leuven|32546|6|5,5,ὅτι,ὅτι,c--------,AuxC
5,Leuven|32546|6|6,6,τὸν,ὁ,l-s---ma-,ATR
6,Leuven|32546|6|7,7,σκυλμὸν,σκυλμός,n-s---ma-,OBJ
7,Leuven|32546|6|8,8,πεποίηκεν,ποιέω,v3sria---,ADV
8,Leuven|32546|6|9,9,πρός,πρός,r--------,AuxP
9,Leuven|32546|6|10,10,σε,σύ,p2s---ca-,ADV
10,Leuven|32546|6|11,11,ἡμῶν,ἐγώ,p1p---cg-,SBJ
11,Leuven|32546|6|12,12,παρεχόντων,παρέχω,v-pppamg-,ADV
12,Leuven|32546|6|13,13,αὐτῷ,αὐτός,p-s---md-,OBJ
13,Leuven|32546|6|14,14,τὸν,ὁ,l-s---ma-,ATR
14,Leuven|32546|6|15,15,μισθόν,ὁ,l-s---ma-,OBJ
