,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|21341|5|1,1,ἐὰν,ἐάν,c--------,AuxC
1,Leuven|21341|5|2,2,συνευδοκῇ,συνευδοκέω,v2spse---,ADV
2,Leuven|21341|5|3,3,τροφεύειν,τροφεύω,v--pna---,OBJ
4,Leuven|21341|5|5,5,περισσότερον,περισσός,a-s---nac,ATR
5,Leuven|21341|5|6,6,μέλλεις,μέλλω,v2spia---,PRED_CO
6,Leuven|21341|5|7,7,μισθάριον,μισθάριον,n-s---na-,OBJ
7,Leuven|21341|5|8,8,εὑρίσκειν,εὑρίσκω,v--pna---,OBJ
9,Leuven|21341|5|10,10,ὡς,ὡς,c--------,AuxC
10,Leuven|21341|5|11,11,ἐλεύθερον,ἐλεύθερος,a-s---nn-,PNOM
12,Leuven|21341|5|13,13,καὶ,καί,c--------,COORD
13,Leuven|21341|5|14,14,ἐξαλλαγὴν,ἐξαλλαγή,n-s---fa-,OBJ_CO
14,Leuven|21341|5|15,15,τὴν,ὁ,l-s---fa-,ATR
15,Leuven|21341|5|16,16,σὴν,σός,a-s---fa-,ATR
16,Leuven|21341|5|17,17,καὶ,καί,c--------,COORD
17,Leuven|21341|5|18,18,γονέας,γονεύς,n-p---ma-,OBJ_CO
18,Leuven|21341|5|19,19,μέλλεις,μέλλω,v2spia---,PRED_CO
19,Leuven|21341|5|20,20,εὑρίσκειν,εὑρίσκω,v--pna---,OBJ
20,Leuven|21341|5|21,21,ἐὰν,ἐάν,c--------,AuxC
21,Leuven|21341|5|22,22,ποιήσῃς,ποιέω,v2sasa---,ADV
