,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|30269|4|1,1,εἰδέ,ὁράω,v2sama---,PRED
1,Leuven|30269|4|2,2,δέ,δέ,d--------,AuxY
2,Leuven|30269|4|3,3,πόσον,πόσος,p-s---na-,ADV
3,Leuven|30269|4|4,4,ὀργίσασα,ὀργίζω,v-sapafn-,ADV
4,Leuven|30269|4|5,5,τόν,ὁ,l-s---ma-,ATR
5,Leuven|30269|4|6,6,σταθμοῦχον,σταθμοῦχος,n-s---ma-,OBJ_CO
6,Leuven|30269|4|7,7,καί,καί,c--------,COORD
7,Leuven|30269|4|8,8,τούς,ὁ,l-p---ma-,ATR
8,Leuven|30269|4|9,9,γείτονας,γείτων,n-p---ma-,OBJ_CO
9,Leuven|30269|4|10,10,αὐτοῦ,αὐτός,p-s---mg-,ATR
10,Leuven|30269|4|11,11,ἠγανάκτησε,ἀγανακτέω,v3saia---,OBJ
11,Leuven|30269|4|12,12,κατ’,κατά,r--------,AuxP
12,Leuven|30269|4|13,13,αὐτοῦ,αὐτός,p-s---mg-,ADV
