,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|7667|9|1,1,γράφε,γράφω,v2spma---,PRED
1,Leuven|7667|9|2,2,δ’,δέ,d--------,AuxY
2,Leuven|7667|9|3,3,ἡμῖν,ἐγώ,p1p---cd-,OBJ
3,Leuven|7667|9|4,4,καί,καί,d--------,AuxZ
4,Leuven|7667|9|5,5,σύ,σύ,p2s---cn-,SBJ
5,Leuven|7667|9|6,6,ἵνα,ἵνα,c--------,AuxC
6,Leuven|7667|9|7,7,εἰδῶμεν,οἶδα,v1prsa---,ADV_CO
7,Leuven|7667|9|8,8,ἐν,ἐν,r--------,AuxP
8,Leuven|7667|9|9,9,οἷς,ὅς,p-p---nd-,PNOM
9,Leuven|7667|9|10,10,εἶ,εἰμί,v2spia---,OBJ
10,Leuven|7667|9|11,11,καί,καί,c--------,COORD
11,Leuven|7667|9|12,12,μή,μή,d--------,AuxZ
12,Leuven|7667|9|13,13,ἀγωνιῶμεν,ἀγωνιάω,v1ppsa---,ADV_CO
