,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|33609|4|1,1,ὁ,ὁ,l-s---mn-,ATR
1,Leuven|33609|4|2,2,γάρ,γάρ,d--------,AuxY
2,Leuven|33609|4|3,3,ἄνθρωπος,ἄνθρωπος,n-s---mn-,SBJ
3,Leuven|33609|4|4,4,ἀπετάξατο,ἀποτάσσω,v3saim---,PRED
4,Leuven|33609|4|5,5,περί,περί,r--------,AuxP
5,Leuven|33609|4|6,6,αὐτοῦ,αὐτός,p-s---ng-,ADV
7,Leuven|33609|4|8,8,ὡς,ὡς,c--------,AuxC
8,Leuven|33609|4|9,9,εἶπον,λέγω,v1saia---,ADV
9,Leuven|33609|4|10,10,σοι,σύ,p2s---cd-,OBJ
11,Leuven|33609|4|12,12,ὅτι,ὅτι,c--------,AuxC
