,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|28857|6|1,1,ἐρεῖς,λέγω,v2sfia---,PRED
1,Leuven|28857|6|2,2,Πρωτῖ,Πρῶτις,n-s---md-,OBJ
3,Leuven|28857|6|4,4,ἐάν,ἐάν,c--------,AuxC
4,Leuven|28857|6|5,5,μή,μή,d--------,AuxZ
5,Leuven|28857|6|6,6,παραγένωμαι,παραγίγνομαι,v1sasm---,ADV
6,Leuven|28857|6|7,7,μέχρι,μέχρι,r--------,AuxP
7,Leuven|28857|6|8,8,δ,δ,n--------,ADV
8,Leuven|28857|6|9,9,Αἰγυπτίων,Αἰγύπτιος,a-p---mg-,ATR
9,Leuven|28857|6|10,10,πρός,πρός,r--------,AuxP
10,Leuven|28857|6|11,11,ὑμᾶς,σύ,p2p---ca-,OBJ
12,Leuven|28857|6|13,13,χρῆσαι,χράω,v2samm---,OBJ_CO
13,Leuven|28857|6|14,14,τοῦ,ὁ,l-s---mg-,ATR
14,Leuven|28857|6|15,15,παρά,παρά,r--------,AuxP
15,Leuven|28857|6|16,16,τῆς,ὁ,l-s---fg-,ATR
16,Leuven|28857|6|17,17,ταμίας,ταμία,n-s---fg-,ATR
17,Leuven|28857|6|18,18,μου,ἐγώ,p1s---cg-,ATR
18,Leuven|28857|6|19,19,δραχμάς,δραχμή,n-p---fa-,OBJ
19,Leuven|28857|6|20,20,μ,μ,n--------,ATR
20,Leuven|28857|6|21,21,καί,καί,c--------,COORD
21,Leuven|28857|6|22,22,πέμψον,πέμπω,v2sama---,OBJ_CO
22,Leuven|28857|6|23,23,ἐπί,ἐπί,r--------,AuxP
23,Leuven|28857|6|24,24,σχοινία,σχοινίον,n-p---na-,OBJ
