,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|31917|8|1,1,ἄσπασον,ἀσπάζομαι,v2sama---,PRED
1,Leuven|31917|8|2,2,τόν,ὁ,l-s---ma-,ATR
2,Leuven|31917|8|3,3,ἀδελφόν,ἀδελφός,n-s---ma-,OBJ
3,Leuven|31917|8|4,4,ἡμῶν,ἐγώ,p1p---cg-,ATR
4,Leuven|31917|8|5,5,Παλέξ,Παλέξ,n-s---m--,APOS
5,Leuven|31917|8|6,6,καί,καί,c--------,AuxY
6,Leuven|31917|8|7,7,τήν,ὁ,l-s---fa-,ATR
7,Leuven|31917|8|8,8,μητέρα,μήτηρ,n-s---fa-,OBJ_CO
8,Leuven|31917|8|9,9,ἡμῶν,ἐγώ,p1p---cg-,ATR
9,Leuven|31917|8|10,10,καί,καί,c--------,COORD
10,Leuven|31917|8|11,11,πάντα,πᾶς,a-s---ma-,ATR
11,Leuven|31917|8|12,12,σου,σύ,p2s---cg-,ATR
12,Leuven|31917|8|13,13,τόν,ὁ,l-s---ma-,ATR
13,Leuven|31917|8|14,14,οἶκον,οἶκος,n-s---ma-,OBJ_CO
14,Leuven|31917|8|15,15,κατ’,κατά,r--------,AuxP
15,Leuven|31917|8|16,16,ὄνομα,ὄνομα,n-s---na-,ADV
