,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|27679|4|1,1,ὑμεῖς,σύ,p2p---cn-,SBJ
1,Leuven|27679|4|2,2,δὲ,δέ,d--------,AuxY
2,Leuven|27679|4|3,3,ἐφάνητέ,φαίνω,v2paip---,PRED
3,Leuven|27679|4|4,4,με,ἐγώ,p1s---ca-,OBJ
4,Leuven|27679|4|5,5,καιροτηροῦσαι,καιροτηρέω,v-pppafn-,PNOM
5,Leuven|27679|4|6,6,καὶ,καί,c--------,AuxY
6,Leuven|27679|4|7,7,εἰ,εἰ,c--------,AuxC
7,Leuven|27679|4|8,8,ὀργή,ὀργή,n-s---fn-,SBJ
8,Leuven|27679|4|9,9,τις,τις,p-s---cn-,ATR
9,Leuven|27679|4|10,10,ἔνι,ἔνειμι,v3spia---,ADV
10,Leuven|27679|4|11,11,ἐν,ἐν,r--------,AuxP
11,Leuven|27679|4|12,12,τῷ,ὁ,l-s---nd-,ATR
12,Leuven|27679|4|13,13,με,ἐγώ,p1s---ca-,SBJ
13,Leuven|27679|4|14,14,μηδὲν,μηδείς,p-s---na-,OBJ
14,Leuven|27679|4|15,15,παραπέμψασθαι,παραπέμπω,v--anm---,OBJ
15,Leuven|27679|4|16,16,ἀκούσαντα,ἀκούω,v-sapama-,ADV
17,Leuven|27679|4|18,18,ἰδοὺ,ἰδού,i--------,ExD
18,Leuven|27679|4|19,19,ἐπλήγην,πλήσσω,v1saip---,PRED_CO
19,Leuven|27679|4|20,20,ὑπὸ,ὑπό,r--------,AuxP
20,Leuven|27679|4|21,21,ἵππου,ἵππος,n-s---mg-,OBJ
21,Leuven|27679|4|22,22,καὶ,καί,c--------,AuxY
22,Leuven|27679|4|23,23,ἐκινδύνευσα,κινδυνεύω,v1saia---,PRED_CO
23,Leuven|27679|4|24,24,τὸν,ὁ,l-s---ma-,ATR
24,Leuven|27679|4|25,25,πόδα,πούς,n-s---ma-,OBJ_CO
25,Leuven|27679|4|26,26,ἀπολέσαι,ἀπόλλυμι,v--ana---,OBJ
26,Leuven|27679|4|27,27,ἢ,ἤ,c--------,COORD
27,Leuven|27679|4|28,28,καὶ,καί,d--------,AuxZ
28,Leuven|27679|4|29,29,τὸ,ὁ,l-s---na-,ATR
29,Leuven|27679|4|30,30,ζῆν,ζάω,v--pna---,OBJ_CO
