,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|40821|4|1,1,καί,καί,d--------,AuxZ
1,Leuven|40821|4|2,2,πρώην,πρῴην,d--------,ADV
2,Leuven|40821|4|3,3,σοι,σύ,p2s---cd-,OBJ
3,Leuven|40821|4|4,4,ἔγραψα,γράφω,v1saia---,PRED
4,Leuven|40821|4|5,5,περί,περί,r--------,AuxP
5,Leuven|40821|4|6,6,τῶν,ὁ,l-p---ng-,ATR
6,Leuven|40821|4|7,7,ξυλαρίων,ξυλάριον,n-p---ng-,ADV
7,Leuven|40821|4|8,8,ἵνα,ἵνα,c--------,AuxC
8,Leuven|40821|4|9,9,μοι,ἐγώ,p1s---cd-,OBJ
9,Leuven|40821|4|10,10,αὐτά,αὐτός,p-p---na-,OBJ
10,Leuven|40821|4|11,11,πέμψῃς,πέμπω,v2sasa---,ADV
