,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|31346|12|1,1,εἰ,εἰ,c--------,AuxC
1,Leuven|31346|12|2,2,μὴ,μή,d--------,AuxZ
2,Leuven|31346|12|3,3,Ἀμμώνιος,Ἀμμώνιος,n-s---mn-,SBJ
3,Leuven|31346|12|4,4,πάραυτα,πάραυτα,d--------,ADV
4,Leuven|31346|12|5,5,ἔρχεται,ἔρχομαι,v3spie---,ADV
5,Leuven|31346|12|6,6,πρός,πρός,r--------,AuxP
6,Leuven|31346|12|7,7,με,ἐγώ,p1s---ca-,OBJ
8,Leuven|31346|12|9,9,σὺ,σύ,p2s---cn-,SBJ
9,Leuven|31346|12|10,10,αὐτὸς,αὐτός,p-s---mn-,ATR
10,Leuven|31346|12|11,11,πάντα,πᾶς,a-p---na-,OBJ
11,Leuven|31346|12|12,12,ὑπερθέμενος,ὑπερτίθημι,v-sapmmn-,ADV
12,Leuven|31346|12|13,13,ἢ,ἤ,c--------,AuxC
13,Leuven|31346|12|14,14,καὶ,καί,d--------,AuxZ
14,Leuven|31346|12|15,15,ἐκείνου,ἐκεῖνος,p-s---mg-,SBJ
15,Leuven|31346|12|16,16,τὸ,ὁ,l-s---na-,ATR
16,Leuven|31346|12|17,17,σὸν,σός,a-s---na-,ATR
17,Leuven|31346|12|18,18,ἔργον,ἔργον,n-s---na-,OBJ
18,Leuven|31346|12|19,19,ποιοῦντος,ποιέω,v-sppamg-,ADV
